ChIN,Annotation1,Annotation2,ID
3,Zm00001d027341,Zm00001d027346,144
6,Zm00001d027341,Zm00001d027344,145
6,Zm00001d027342,Zm00001d027344,146
8,Zm00001d027342,Zm00001d027345,147
8,Zm00001d027342,Zm00001d027346,148
3,Zm00001d027342,Zm00001d027343,149
3,Zm00001d027343,Zm00001d027349,150
7,Zm00001d027343,Zm00001d027345,151
7,Zm00001d027344,Zm00001d027345,152
7,Zm00001d027343,Zm00001d027346,153
7,Zm00001d027344,Zm00001d027346,154
7,Zm00001d027344,Zm00001d027347,155
146,Zm00001d027345,Zm00001d027348,156
146,Zm00001d027346,Zm00001d027348,157
146,Zm00001d027347,Zm00001d027348,158
146,Zm00001d027345,Zm00001d027349,159
146,Zm00001d027346,Zm00001d027349,160
146,Zm00001d027347,Zm00001d027349,161
36,Zm00001d027348,Zm00001d022654,162
36,Zm00001d027348,Zm00001d027350,163
3,Zm00001d027348,Zm00001d022654,164
3,Zm00001d027348,Zm00001d027350,165
3,Zm00001d027349,Zm00001d027351,166
3,Zm00001d027349,Zm00001d027353,167
5,Zm00001d027349,Zm00001d022654,168
5,Zm00001d027349,Zm00001d027350,169
11,Zm00001d027349,Zm00001d027351,170
6,Zm00001d027349,Zm00001d027351,171
137,Zm00001d022654,Zm00001d027351,172
137,Zm00001d027349,Zm00001d027351,173
137,Zm00001d027350,Zm00001d027351,174
137,Zm00001d022654,Zm00001d027352,175
137,Zm00001d027349,Zm00001d027352,176
137,Zm00001d027350,Zm00001d027352,177
8,Zm00001d022654,Zm00001d027352,178
8,Zm00001d027350,Zm00001d027352,179
5,Zm00001d022654,Zm00001d027352,180
5,Zm00001d027350,Zm00001d027352,181
4,Zm00001d022654,Zm00001d027352,182
4,Zm00001d027350,Zm00001d027352,183
29,Zm00001d027351,Zm00001d027353,184
3,Zm00001d027351,Zm00001d027354,185
69,Zm00001d027352,Zm00001d027354,186
3,Zm00001d027352,Zm00001d027354,187
5,Zm00001d027354,ENSRNA049464940,188
5,Zm00001d027354,ENSRNA049464954,189
3,Zm00001d027354,ENSRNA049464940,190
3,Zm00001d027354,ENSRNA049464954,191
4,Zm00001d027354,Zm00001d027359,192
10,Zm00001d027354,ENSRNA049464940,193
10,Zm00001d027354,ENSRNA049464954,194
3,ENSRNA049464940,Zm00001d027366,195
3,ENSRNA049464954,Zm00001d027366,196
3,ENSRNA049464940,Zm00001d027367,197
3,ENSRNA049464954,Zm00001d027367,198
3,ENSRNA049464940,Zm00001d027355,199
3,ENSRNA049464954,Zm00001d027355,200
6,ENSRNA049464940,Zm00001d027359,201
6,ENSRNA049464954,Zm00001d027359,202
4,ENSRNA049464940,Zm00001d027359,203
4,ENSRNA049464954,Zm00001d027359,204
3,Zm00001d027355,Zm00001d027365,205
17,Zm00001d027359,Zm00001d027362,206
3,Zm00001d027359,Zm00001d027366,207
3,Zm00001d027359,Zm00001d027367,208
11,Zm00001d027359,Zm00001d027363,209
10,Zm00001d027359,Zm00001d027361,210
16,Zm00001d027359,Zm00001d027362,211
5,Zm00001d027359,Zm00001d027361,212
3,Zm00001d027359,Zm00001d027363,213
3,Zm00001d027361,Zm00001d027362,214
47,Zm00001d027361,Zm00001d027362,215
4,Zm00001d027361,Zm00001d027365,216
3,Zm00001d027361,Zm00001d027362,217
4,Zm00001d027361,Zm00001d027367,218
19,Zm00001d027361,Zm00001d027362,219
3,Zm00001d027361,Zm00001d027363,220
3,Zm00001d027362,Zm00001d027367,221
29,Zm00001d027362,Zm00001d027365,222
13,Zm00001d027363,Zm00001d027365,223
3,Zm00001d027363,Zm00001d027366,224
3,Zm00001d027363,Zm00001d027367,225
14,Zm00001d027363,Zm00001d027365,226
21,Zm00001d027363,Zm00001d027365,227
9,Zm00001d027365,Zm00001d027366,228
9,Zm00001d027365,Zm00001d027367,229
15,Zm00001d027365,Zm00001d027366,230
15,Zm00001d027365,Zm00001d027367,231
15,Zm00001d027365,Zm00001d027368,232
4,Zm00001d027365,Zm00001d027366,233
4,Zm00001d027365,Zm00001d027367,234
3,Zm00001d027365,Zm00001d027368,235
53,Zm00001d027366,Zm00001d027369,236
53,Zm00001d027367,Zm00001d027369,237
53,Zm00001d027368,Zm00001d027369,238
4,Zm00001d027369,Zm00001d027370,239
4,Zm00001d027373,Zm00001d027377,240
4,Zm00001d027373,Zm00001d027378,241
3,Zm00001d027374,Zm00001d027384,242
43,Zm00001d027375,Zm00001d027378,243
34,Zm00001d027375,Zm00001d027377,244
34,Zm00001d027375,Zm00001d027378,245
4,Zm00001d027377,Zm00001d027384,246
3,Zm00001d027377,Zm00001d027383,247
3,Zm00001d027378,Zm00001d027383,248
20,Zm00001d027378,Zm00001d027383,249
20,Zm00001d027378,Zm00001d027384,250
5,Zm00001d027378,Zm00001d027384,251
32,Zm00001d027383,Zm00001d027385,252
32,Zm00001d027384,Zm00001d027385,253
3,Zm00001d027383,Zm00001d027389,254
5,Zm00001d027383,Zm00001d027385,255
29,Zm00001d027385,Zm00001d027387,256
3,Zm00001d027385,ENSRNA049446916,257
3,Zm00001d027385,Zm00001d013123,258
3,Zm00001d027385,Zm00001d013124,259
3,Zm00001d027385,Zm00001d013125,260
5,Zm00001d027385,Zm00001d013126,261
3,Zm00001d027385,Zm00001d027386,262
5,Zm00001d027385,Zm00001d027387,263
3,Zm00001d027385,Zm00001d027388,264
4,Zm00001d027385,Zm00001d027388,265
3,Zm00001d027385,Zm00001d027388,266
3,Zm00001d027386,Zm00001d027389,267
66,Zm00001d027386,Zm00001d027387,268
66,Zm00001d027386,Zm00001d027388,269
14,Zm00001d027386,Zm00001d027388,270
3,Zm00001d027388,Zm00001d027856,271
3,Zm00001d027388,Zm00001d027391,272
3,Zm00001d027388,Zm00001d027392,273
12,Zm00001d027389,Zm00001d027391,274
12,Zm00001d027389,Zm00001d027392,275
7,Zm00001d027389,Zm00001d027391,276
7,Zm00001d027389,Zm00001d027392,277
3,Zm00001d027399,Zm00001d027402,278
24,Zm00001d027399,Zm00001d027402,279
3,Zm00001d027399,Zm00001d027401,280
6,Zm00001d027400,Zm00001d027402,281
13,Zm00001d027403,Zm00001d027404,282
3,Zm00001d027403,Zm00001d027405,283
14,Zm00001d027403,Zm00001d027404,284
69,Zm00001d027411,Zm00001d027412,285
10,Zm00001d027412,Zm00001d027415,286
3,Zm00001d027412,Zm00001d027416,287
17,Zm00001d027415,Zm00001d027416,288
3,Zm00001d027416,Zm00001d027421,289
3,Zm00001d027421,Zm00001d027423,290
5,Zm00001d027422,Zm00001d027430,291
3,Zm00001d027422,Zm00001d022658,292
3,Zm00001d027422,Zm00001d027425,293
3,Zm00001d027422,Zm00001d027427,294
3,Zm00001d027422,Zm00001d022658,295
3,Zm00001d027422,Zm00001d027425,296
4,Zm00001d027423,Zm00001d027429,297
56,Zm00001d022658,Zm00001d027427,298
56,Zm00001d027425,Zm00001d027427,299
24,Zm00001d022658,Zm00001d027427,300
24,Zm00001d027425,Zm00001d027427,301
3,Zm00001d022658,Zm00001d022659,302
3,Zm00001d027425,Zm00001d022659,303
4,Zm00001d022658,Zm00001d027431,304
4,Zm00001d027425,Zm00001d027431,305
152,Zm00001d027427,Zm00001d027428,306
152,Zm00001d027428,Zm00001d027428,307
152,Zm00001d027427,Zm00001d027429,308
152,Zm00001d027428,Zm00001d027429,309
152,Zm00001d027427,Zm00001d027430,310
152,Zm00001d027428,Zm00001d027430,311
12,Zm00001d027427,Zm00001d027428,312
12,Zm00001d027427,Zm00001d027429,313
58,Zm00001d027427,Zm00001d027428,314
58,Zm00001d027427,Zm00001d027429,315
58,Zm00001d027427,Zm00001d027430,316
10,Zm00001d027427,Zm00001d027428,317
10,Zm00001d027427,Zm00001d027429,318
5,Zm00001d027429,Zm00001d027431,319
3,Zm00001d027430,Zm00001d027431,320
4,Zm00001d027430,Zm00001d027431,321
6,Zm00001d027431,Zm00001d027434,322
5,Zm00001d022659,Zm00001d027434,323
4,Zm00001d027434,Zm00001d027435,324
3,Zm00001d027434,Zm00001d027437,325
3,Zm00001d027435,Zm00001d027437,326
4,Zm00001d022660,Zm00001d027437,327
9,Zm00001d022660,Zm00001d027436,328
8,Zm00001d027436,Zm00001d027439,329
8,Zm00001d027436,Zm00001d027439,330
5,Zm00001d027437,Zm00001d027439,331
18,Zm00001d027439,Zm00001d027440,332
3,Zm00001d027439,Zm00001d027441,333
22,Zm00001d027439,Zm00001d027441,334
7,Zm00001d027439,Zm00001d027440,335
4,Zm00001d027439,Zm00001d027445,336
3,Zm00001d027440,Zm00001d027442,337
3,Zm00001d027440,Zm00001d027446,338
130,Zm00001d027441,Zm00001d027443,339
130,Zm00001d027442,Zm00001d027443,340
130,Zm00001d027441,Zm00001d027444,341
130,Zm00001d027442,Zm00001d027444,342
4,Zm00001d027441,Zm00001d027446,343
4,Zm00001d027441,Zm00001d027445,344
14,Zm00001d027442,Zm00001d027445,345
3,Zm00001d027442,Zm00001d027445,346
7,Zm00001d027442,Zm00001d027443,347
9,Zm00001d027443,Zm00001d027446,348
9,Zm00001d027444,Zm00001d027446,349
154,Zm00001d027443,Zm00001d027445,350
154,Zm00001d027444,Zm00001d027445,351
154,Zm00001d027443,Zm00001d027446,352
154,Zm00001d027444,Zm00001d027446,353
153,Zm00001d027444,Zm00001d027445,354
153,Zm00001d027444,Zm00001d027446,355
3,Zm00001d027444,Zm00001d027445,356
20,Zm00001d027444,Zm00001d027446,357
58,Zm00001d027445,Zm00001d027446,358
104,Zm00001d027445,Zm00001d027446,359
7,Zm00001d027445,Zm00001d027447,360
3,Zm00001d027446,Zm00001d027449,361
4,Zm00001d027446,Zm00001d027449,362
3,Zm00001d027446,Zm00001d027456,363
3,Zm00001d027446,Zm00001d027449,364
56,Zm00001d027447,Zm00001d027448,365
56,Zm00001d027447,Zm00001d027449,366
21,Zm00001d027447,Zm00001d027449,367
18,Zm00001d027447,Zm00001d027449,368
11,Zm00001d027447,Zm00001d027448,369
3,Zm00001d027447,Zm00001d027449,370
6,Zm00001d027447,Zm00001d027448,371
3,Zm00001d027447,Zm00001d027448,372
6,Zm00001d027448,Zm00001d027451,373
10,Zm00001d027449,Zm00001d027450,374
7,Zm00001d027449,Zm00001d022661,375
4,Zm00001d027449,Zm00001d027455,376
4,Zm00001d027449,Zm00001d027450,377
