Annotation1,Annotation2,ID
Zm00001d027721,Zm00001d027723,159
Zm00001d027721,Zm00001d027752,160
Zm00001d027723,Zm00001d027726,161
Zm00001d027723,Zm00001d027728,162
Zm00001d027726,Zm00001d027728,163
Zm00001d027734,Zm00001d027744,164
Zm00001d027734,Zm00001d027752,165
Zm00001d027738,Zm00001d027741,166
Zm00001d027742,Zm00001d027744,167
Zm00001d027749,Zm00001d027764,168
Zm00001d027752,Zm00001d027755,169
Zm00001d027756,Zm00001d027764,170
Zm00001d027756,Zm00001d027801,171
Zm00001d027757,ENSRNA049471983,172
Zm00001d027764,Zm00001d027768,173
Zm00001d027768,Zm00001d027790,174
Zm00001d027794,Zm00001d027801,175
Zm00001d027795,Zm00001d027799,176
Zm00001d027799,Zm00001d027801,177
Zm00001d027801,Zm00001d027896,178
Zm00001d027801,Zm00001d027802,179
Zm00001d027803,Zm00001d027813,180
Zm00001d027803,Zm00001d022677,181
Zm00001d027803,Zm00001d027805,182
Zm00001d027807,Zm00001d027808,183
Zm00001d027807,ENSRNA049472005,184
Zm00001d027808,Zm00001d027811,185
ENSRNA049472005,Zm00001d027810,186
ENSRNA049472005,Zm00001d027811,187
Zm00001d027810,Zm00001d027811,188
Zm00001d027813,Zm00001d022677,189
Zm00001d027816,Zm00001d022677,190
Zm00001d027816,Zm00001d027819,191
Zm00001d027821,Zm00001d027824,192
Zm00001d027827,Zm00001d027833,193
Zm00001d027835,Zm00001d027847,194
Zm00001d027838,Zm00001d027839,195
Zm00001d027840,Zm00001d027841,196
Zm00001d027842,Zm00001d027845,197
Zm00001d027845,Zm00001d027847,198
Zm00001d027845,Zm00001d027848,199
Zm00001d022678,Zm00001d027854,200
Zm00001d027855,Zm00001d027856,201
Zm00001d027861,Zm00001d027862,202
Zm00001d027868,Zm00001d027869,203
Zm00001d027869,Zm00001d027872,204
Zm00001d027873,Zm00001d027885,205
Zm00001d027873,Zm00001d027896,206
Zm00001d027874,Zm00001d027876,207
Zm00001d027874,Zm00001d027877,208
Zm00001d027874,Zm00001d027878,209
Zm00001d027875,Zm00001d027877,210
Zm00001d027875,Zm00001d027876,211
Zm00001d027875,Zm00001d027878,212
Zm00001d027876,Zm00001d022680,213
Zm00001d027876,Zm00001d027880,214
Zm00001d027876,Zm00001d027888,215
Zm00001d027876,Zm00001d027877,216
Zm00001d022680,Zm00001d027879,217
Zm00001d022680,Zm00001d027880,218
Zm00001d027880,Zm00001d027884,219
Zm00001d027881,Zm00001d027884,220
Zm00001d027888,Zm00001d027890,221
Zm00001d027888,Zm00001d027892,222
Zm00001d027888,Zm00001d027895,223
Zm00001d027890,Zm00001d027892,224
Zm00001d027896,Zm00001d027903,225
Zm00001d027897,Zm00001d027898,226
Zm00001d027897,Zm00001d027903,227
Zm00001d027901,Zm00001d027929,228
Zm00001d027904,Zm00001d027907,229
Zm00001d022683,Zm00001d027916,230
Zm00001d027916,Zm00001d027918,231
Zm00001d027918,Zm00001d027921,232
Zm00001d027920,Zm00001d027936,233
Zm00001d027922,Zm00001d027934,234
Zm00001d027922,Zm00001d027929,235
Zm00001d027929,Zm00001d027932,236
Zm00001d027938,Zm00001d028074,237
Zm00001d027944,Zm00001d027950,238
Zm00001d027950,ENSRNA049437658,239
ENSRNA049437658,Zm00001d027966,240
ENSRNA049437658,Zm00001d027963,241
Zm00001d027963,Zm00001d027969,242
Zm00001d027963,Zm00001d027966,243
Zm00001d027968,Zm00001d027969,244
Zm00001d027968,Zm00001d027971,245
Zm00001d027969,Zm00001d028019,246
Zm00001d027969,Zm00001d027971,247
Zm00001d027971,Zm00001d027973,248
Zm00001d027976,Zm00001d027978,249
Zm00001d027976,Zm00001d027982,250
Zm00001d027978,Zm00001d027979,251
Zm00001d027978,Zm00001d027982,252
Zm00001d027980,Zm00001d027982,253
Zm00001d027982,Zm00001d027992,254
Zm00001d027983,Zm00001d027990,255
Zm00001d027983,Zm00001d027987,256
Zm00001d027988,Zm00001d027990,257
Zm00001d027988,Zm00001d027991,258
Zm00001d027990,Zm00001d027991,259
Zm00001d027990,Zm00001d027995,260
Zm00001d027992,Zm00001d027995,261
Zm00001d027999,Zm00001d028001,262
Zm00001d028003,Zm00001d028005,263
Zm00001d028006,Zm00001d028010,264
Zm00001d028006,Zm00001d028007,265
Zm00001d028008,Zm00001d028010,266
Zm00001d028008,Zm00001d028009,267
Zm00001d028013,Zm00001d028020,268
Zm00001d028013,Zm00001d028016,269
Zm00001d028019,Zm00001d028034,270
Zm00001d028019,Zm00001d028020,271
Zm00001d028019,Zm00001d028022,272
Zm00001d028020,Zm00001d028022,273
Zm00001d028020,Zm00001d028034,274
Zm00001d028024,Zm00001d028026,275
Zm00001d028026,Zm00001d028034,276
Zm00001d028034,Zm00001d028038,277
Zm00001d028034,Zm00001d028073,278
Zm00001d028034,Zm00001d028040,279
Zm00001d028036,Zm00001d028038,280
Zm00001d028038,ENSRNA049473738,281
Zm00001d028038,Zm00001d028040,282
Zm00001d028038,Zm00001d028054,283
Zm00001d028040,Zm00001d028046,284
Zm00001d028040,Zm00001d028050,285
Zm00001d028040,Zm00001d028054,286
Zm00001d028040,Zm00001d028042,287
Zm00001d028046,Zm00001d028050,288
ENSRNA049473738,Zm00001d028050,289
Zm00001d028055,Zm00001d028073,290
Zm00001d028055,Zm00001d028075,291
Zm00001d028055,Zm00001d028088,292
Zm00001d028056,Zm00001d028062,293
Zm00001d028063,Zm00001d028073,294
Zm00001d028066,Zm00001d028071,295
Zm00001d028073,Zm00001d028088,296
Zm00001d028074,Zm00001d028075,297
Zm00001d028075,Zm00001d028089,298
Zm00001d028075,Zm00001d028084,299
Zm00001d028084,Zm00001d028089,300
Zm00001d028084,Zm00001d028085,301
Zm00001d028085,Zm00001d028088,302
Zm00001d028086,Zm00001d028088,303
Zm00001d028089,Zm00001d022694,304
Zm00001d028089,Zm00001d028096,305
Zm00001d028093,Zm00001d028096,306
Zm00001d028096,Zm00001d028102,307
Zm00001d028097,Zm00001d028098,308
Zm00001d028104,Zm00001d028177,309
Zm00001d028107,Zm00001d028110,310
Zm00001d028107,Zm00001d028114,311
Zm00001d028110,Zm00001d028114,312
Zm00001d028112,Zm00001d028113,313
Zm00001d028114,Zm00001d028119,314
Zm00001d028117,Zm00001d028119,315
Zm00001d028119,Zm00001d028120,316
Zm00001d028124,Zm00001d028128,317
