Gene,Expression
MH01g0046100,0
MH01g0046200,0
MH01g0046300,0
MH01g0046400,279.712
MH01g0046500,6.69655
MH01g0046600,191.907
MH01g0046700,171.786
MH01g0046800,7.652
MH01g0046900,20.7741
MH01g0047000,0.127191
MH01g0047100,0
MH01g0047200,1.15097
MH01g0047300,0
MH01g0047400,1.26882
MH01g0047500,7.20446
MH01g0047600,6.32887
MH01g0047700,30.5784
MH01g0047800,0.0164558
MH01g0047900,0
MH01g0048000,0.0224335
MH01g0048100,0
MH01g0048200,0
MH01g0048300,0
MH01g0048400,0
MH01g0048500,0.060725
MH01g0048600,0.637771
MH01g0048700,0
MH01g0048800,0
MH01g0048900,0
MH01g0049000,5.60255
MH01g0049100,0.187405
MH01g0049200,13.6434
MH01g0049300,42.2948
MH01g0049400,2.6364
MH01g0049500,0
MH01g0049600,0
MH01g0049700,0
MH01g0049800,39.5495
MH01g0049900,3.305
MH01g0050000,5.77956
MH01g0050100,0
MH01g0050200,2.00157
MH01g0050300,103.299
MH01g0050400,0.711272
MH01g0050500,0.444538
MH01g0050600,233.082
MH01g0050700,0.24938
MH01g0050800,0.46777
MH01g0050900,0
MH01g0051000,0
MH01g0051100,1.78531
MH01g0051200,8.21977
MH01g0051300,0.71078
MH01g0051400,0
MH01g0051500,0
MH01g0051600,0
MH01g0051700,0.40014
MH01g0051800,60.8484
MH01g0051900,0.298212
MH01g0052000,0.537638
MH01g0052100,0.656408
MH01g0052200,1.17638
MH01g0052300,0.0223981
MH01g0052400,1.06342
MH01g0052500,15.2841
MH01g0052600,1.53765
MH01g0052700,0
MH01g0052800,0
MH01g0052900,0
MH01g0053000,0
MH01g0053100,0
MH01g0053200,0
MH01g0053300,0
MH01g0053400,0
MH01g0053500,0
MH01g0053600,0
MH01g0053700,0
MH01g0053800,0
MH01g0053900,0
MH01g0054000,0
MH01g0054100,1.22102
MH01g0054200,1.84886
MH01g0054300,0
MH01g0054400,2.99448
MH01g0054500,0.588095
MH01g0054600,0.800994
MH01g0054700,10.4137
MH01g0054800,3.89776
MH01g0054900,0
MH01g0055000,1.20418
MH01g0055100,82.6975
MH01g0055200,0
MH01g0055300,17.9947
MH01g0055400,36.1161
MH01g0055500,0
MH01g0055600,0
MH01g0055700,0
MH01g0055800,0.304899
MH01g0055900,0.126927
