Gene,Expression
ZS01g0034200,1.19709
ZS01g0034300,0
ZS01g0034400,1.04203
ZS01g0034500,0
ZS01g0034600,0.889066
ZS01g0034700,69.9305
ZS01g0034800,12.8787
ZS01g0034900,50.1846
ZS01g0035000,0
ZS01g0035100,0
ZS01g0035200,0
ZS01g0035300,0
ZS01g0035400,0
ZS01g0035500,0.0842785
ZS01g0035600,56.2531
ZS01g0035700,0.0266287
ZS01g0035800,0.0853555
ZS01g0035900,0
ZS01g0036000,1.63642
ZS01g0036100,0.032691
ZS01g0036200,0.346598
ZS01g0036300,13.7837
ZS01g0036400,0
ZS01g0036500,10.4224
ZS01g0036600,8.96609
ZS01g0036700,16.1034
ZS01g0036800,0
ZS01g0036900,0
ZS01g0037000,191.925
ZS01g0037100,249.906
ZS01g0037200,137.212
ZS01g0037300,6.64494
ZS01g0037400,3.68482
ZS01g0037500,0.125213
ZS01g0037600,0.940272
ZS01g0037700,0.0200768
ZS01g0037800,0.461724
ZS01g0037900,6.03697
ZS01g0038000,2.93811
ZS01g0038100,47.9156
ZS01g0038200,0
ZS01g0038300,0
ZS01g0038400,0
ZS01g0038500,0
ZS01g0038600,0
ZS01g0038700,0
ZS01g0038800,0
ZS01g0038900,0
ZS01g0039000,0
ZS01g0039100,0
ZS01g0039200,0
ZS01g0039300,0
ZS01g0039400,0
ZS01g0039500,0
ZS01g0039600,1.89319
ZS01g0039700,2.85199
ZS01g0039800,0
ZS01g0039900,38.4959
ZS01g0040000,10.2728
ZS01g0040100,0.0547861
ZS01g0040200,4.75784
ZS01g0040300,0.0819523
ZS01g0040400,30.3074
ZS01g0040500,4.28998
ZS01g0040600,3.81233
ZS01g0040700,1.40363
ZS01g0040800,45.5255
ZS01g0040900,0.415628
ZS01g0041000,0.214949
ZS01g0041100,137.59
ZS01g0041200,0.10815
ZS01g0041300,0.118873
ZS01g0041400,1.34116
ZS01g0041500,8.24167
ZS01g0041600,0
ZS01g0041700,0.312223
ZS01g0041800,0
ZS01g0041900,0
ZS01g0042000,0
ZS01g0042100,0.468727
ZS01g0042200,96.0288
ZS01g0042300,0.219008
ZS01g0042400,0.95379
ZS01g0042500,0.720478
ZS01g0042600,0.814503
ZS01g0042700,0
ZS01g0042800,0.978025
ZS01g0042900,0
ZS01g0043000,2.01131
ZS01g0043100,0
ZS01g0043200,0
ZS01g0043300,0
ZS01g0043400,0
ZS01g0043500,0
ZS01g0043600,0
ZS01g0043700,0
ZS01g0043800,0
ZS01g0043900,0
ZS01g0044000,0
ZS01g0044100,0
ZS01g0044200,0
ZS01g0044300,0
ZS01g0044400,0
ZS01g0044500,0
ZS01g0044600,0.628947
ZS01g0044700,1.06228
ZS01g0044800,0.154838
ZS01g0044900,1.47351
ZS01g0045000,0.68568
ZS01g0045100,1.54001
ZS01g0045200,10.9785
ZS01g0045300,3.08139
ZS01g0045400,0
ZS01g0045500,0.837359
ZS01g0045600,64.6594
ZS01g0045700,4.6322
ZS01g0045800,31.9853
ZS01g0045900,0
ZS01g0046000,0.0313707
ZS01g0046100,0
ZS01g0046200,0
ZS01g0046300,0.101108
ZS01g0046400,24.4744
ZS01g0046500,4.78392
ZS01g0046600,95.975
ZS01g0046700,0
ZS01g0046800,0.610019
ZS01g0046900,0
ZS01g0047000,0
ZS01g0047100,0
ZS01g0047200,0
ZS01g0047300,0
ZS01g0047400,17.3698
ZS01g0047500,74.5489
ZS01g0047600,0
ZS01g0047700,0
ZS01g0047800,0
ZS01g0047900,7.02739
ZS01g0048000,8.55238
ZS01g0048100,6.2267
ZS01g0048200,33.5695
ZS01g0048300,11.7435
ZS01g0048400,11.0104
ZS01g0048500,8.69735
ZS01g0048600,38.626
ZS01g0048700,0
ZS01g0048800,0
ZS01g0048900,0.312825
ZS01g0049000,8.58381
ZS01g0049100,0
ZS01g0049200,11.5138
ZS01g0049300,0
ZS01g0049400,0
ZS01g0049500,0
ZS01g0049600,44.7571
ZS01g0049700,11.4577
ZS01g0049800,3.25589
ZS01g0049900,0.346135
ZS01g0050000,9.76126
ZS01g0050100,0.0942855
ZS01g0050200,10.0063
ZS01g0050300,5.77562
ZS01g0050400,0
ZS01g0050500,0
ZS01g0050600,0
ZS01g0050700,0
ZS01g0050800,0
ZS01g0050900,0
ZS01g0051000,0
ZS01g0051100,0
ZS01g0051200,1.01797
ZS01g0051300,1.91136
ZS01g0051400,0
ZS01g0051500,0
ZS01g0051600,0.454644
ZS01g0051700,0
ZS01g0051800,0
ZS01g0051900,0
ZS01g0052000,0
ZS01g0052100,0
ZS01g0052200,0
ZS01g0052300,0
ZS01g0052400,0.130473
ZS01g0052500,0.0182145
ZS01g0052600,0
ZS01g0052700,0.917037
ZS01g0052800,30.9959
ZS01g0052900,1.05305
ZS01g0053000,0.0280462
ZS01g0053100,0.056185
ZS01g0053200,1.36547
ZS01g0053300,0.149626
ZS01g0053400,11.1237
ZS01g0053500,1.44102
ZS01g0053600,222.739
ZS01g0053700,37.4686
ZS01g0053800,10.14
ZS01g0053900,0
ZS01g0054000,0
ZS01g0054100,0
ZS01g0054200,7.32353
ZS01g0054300,0.795859
ZS01g0054400,0
ZS01g0054500,10.8844
ZS01g0054600,0
ZS01g0054700,0
ZS01g0054800,0.166494
ZS01g0054900,0
ZS01g0055000,8.55008
ZS01g0055100,1.42954
ZS01g0055200,0.872063
ZS01g0055300,49.0144
ZS01g0055400,0.267108
ZS01g0055500,51.2767
ZS01g0055600,9.59737
ZS01g0055700,112.77
ZS01g0055800,0
ZS01g0055900,9.45047
ZS01g0056000,22.1371
ZS01g0056100,1.33331
ZS01g0056200,0
ZS01g0056300,1.95229
ZS01g0056400,0
ZS01g0056500,11.5935
ZS01g0056600,19.1739
ZS01g0056700,120.149
ZS01g0056800,10.842
ZS01g0056900,13.8952
ZS01g0057000,43.4686
ZS01g0057100,0
ZS01g0057200,1.13694
ZS01g0057300,0.220465
ZS01g0057400,1.62772
ZS01g0057500,0.369683
ZS01g0057600,43.1884
ZS01g0057700,0.539549
ZS01g0057800,52.4701
ZS01g0057900,1.39212
ZS01g0058000,47.0124
ZS01g0058100,5.07784
ZS01g0058200,0.563719
ZS01g0058300,122.838
ZS01g0058400,0
ZS01g0058500,2.68994
ZS01g0058600,2.00236
ZS01g0058700,80.3457
ZS01g0058800,15.898
ZS01g0058900,0
ZS01g0059000,0
ZS01g0059100,0
ZS01g0059200,0
ZS01g0059300,0
ZS01g0059400,0
ZS01g0059500,0.371203
ZS01g0059600,0
ZS01g0059700,0.0267618
ZS01g0059800,0.51468
ZS01g0059900,0
ZS01g0060000,0
ZS01g0060100,0
ZS01g0060200,0
ZS01g0060300,0.0402544
ZS01g0060400,0
ZS01g0060500,0.407398
ZS01g0060600,0.49804
ZS01g0060700,0.0265492
ZS01g0060800,0
ZS01g0060900,25.3864
ZS01g0061000,7.69559
ZS01g0061100,21.9192
ZS01g0061200,5.87548
ZS01g0061300,0
ZS01g0061400,0.0455318
ZS01g0061500,0.175042
ZS01g0061600,0.124517
ZS01g0061700,0
ZS01g0061800,0
ZS01g0061900,0.176085
ZS01g0062000,0.026513
ZS01g0062100,3.86611
ZS01g0062200,33.3175
ZS01g0062300,7.47104
ZS01g0062400,8.20838
ZS01g0062500,5.45913
ZS01g0062600,9.35091
ZS01g0062700,0.0520135
ZS01g0062800,0
ZS01g0062900,0
ZS01g0063000,0
ZS01g0063100,0
ZS01g0063200,0
ZS01g0063300,13.7618
ZS01g0063400,0.0176805
ZS01g0063500,0
ZS01g0063600,0
ZS01g0063700,0.0669036
ZS01g0063800,0
ZS01g0063900,18.1243
ZS01g0064000,0.245679
ZS01g0064100,47.8004
ZS01g0064200,23.2266
ZS01g0064300,23.1459
ZS01g0064400,0
ZS01g0064500,0.052653
ZS01g0064600,4.04202
ZS01g0064700,0
ZS01g0064800,7.13667
ZS01g0064900,0
ZS01g0065000,1.4458
ZS01g0065100,1.63992
ZS01g0065200,0.277924
ZS01g0065300,0.416863
ZS01g0065400,5.98157
ZS01g0065500,0.196535
ZS01g0065600,0
ZS01g0065700,0.0180828
ZS01g0065800,0.182189
ZS01g0065900,0
ZS01g0066000,0.0256223
ZS01g0066100,0.250403
ZS01g0066200,0.081029
ZS01g0066300,0
ZS01g0066400,0
ZS01g0066500,0.177514
ZS01g0066600,18.8761
ZS01g0066700,0
ZS01g0066800,0
ZS01g0066900,0
ZS01g0067000,11.4383
ZS01g0067100,6.25183
ZS01g0067200,13.3435
ZS01g0067300,27.9407
ZS01g0067400,0.924972
ZS01g0067500,3.67058
ZS01g0067600,1.40913
ZS01g0067700,0.655509
ZS01g0067800,0
ZS01g0067900,6.98346
ZS01g0068000,0
ZS01g0068100,0
ZS01g0068200,23.187
ZS01g0068300,4.61966
ZS01g0068400,1.60492
ZS01g0068500,25.0121
ZS01g0068600,33.6416
ZS01g0068700,4.58831
ZS01g0068800,3.03429
ZS01g0068900,0.561241
ZS01g0069000,4.6437
ZS01g0069100,48.3496
ZS01g0069200,0.588669
ZS01g0069300,1.37311
ZS01g0069400,0.180379
ZS01g0069500,1.33058
ZS01g0069600,4.6128
ZS01g0069700,59.9693
ZS01g0069800,6.21343
ZS01g0069900,7.40721
ZS01g0070000,0
ZS01g0070100,0
ZS01g0070200,26.0232
ZS01g0070300,12.5159
ZS01g0070400,9.04923
ZS01g0070500,11.7241
ZS01g0070600,0
ZS01g0070700,0
ZS01g0070800,0.0366456
ZS01g0070900,0
ZS01g0071000,0
ZS01g0071100,0.067174
ZS01g0071200,16.6628
ZS01g0071300,0
ZS01g0071400,4.7252
ZS01g0071500,20.2614
ZS01g0071600,5.46665
ZS01g0071700,3.41244
ZS01g0071800,1.5968
ZS01g0071900,8.02393
ZS01g0072000,0
ZS01g0072100,8.22378
ZS01g0072200,0.872293
ZS01g0072300,0.798836
ZS01g0072400,11.3895
ZS01g0072500,0.0248367
ZS01g0072600,0.69838
ZS01g0072700,0.161822
ZS01g0072800,0
ZS01g0072900,0
ZS01g0073000,8.52566
ZS01g0073100,0.0310721
ZS01g0073200,14.9234
ZS01g0073300,13.7868
ZS01g0073400,9.83719
ZS01g0073500,11.6989
ZS01g0073600,90.9213
ZS01g0073700,3.42516
ZS01g0073800,15.6146
ZS01g0073900,0.0583257
ZS01g0074000,12.2108
ZS01g0074100,25.9315
ZS01g0074200,0
ZS01g0074300,0
ZS01g0074400,0
ZS01g0074500,0
ZS01g0074600,0.0389384
ZS01g0074700,0
ZS01g0074800,1.77846
ZS01g0074900,6.96515
ZS01g0075000,3.87248
ZS01g0075100,0.986855
ZS01g0075200,5.07427
ZS01g0075300,0
ZS01g0075400,20.3329
ZS01g0075500,5.09508
ZS01g0075600,0
ZS01g0075700,6.14856
ZS01g0075800,7.27403
ZS01g0075900,37.9532
ZS01g0076000,0
ZS01g0076100,0
ZS01g0076200,12.4644
ZS01g0076300,7.58927
ZS01g0076400,0
ZS01g0076500,1.27963
ZS01g0076600,0.656563
ZS01g0076700,0.400836
ZS01g0076800,1.58332
ZS01g0076900,0
ZS01g0077000,0.559339
ZS01g0077100,12.8389
ZS01g0077200,3.79446
ZS01g0077300,3.1902
ZS01g0077400,0.00916025
ZS01g0077500,0
ZS01g0077600,0
ZS01g0077700,1.55354
ZS01g0077800,22.2326
ZS01g0077900,1.65901
ZS01g0078000,0.0173652
ZS01g0078100,24.9141
ZS01g0078200,46.8968
ZS01g0078300,9.11683
ZS01g0078400,4.71399
ZS01g0078500,6.25006
ZS01g0078600,7.06626
ZS01g0078700,0
ZS01g0078800,1.85487
ZS01g0078900,3.18619
ZS01g0079000,5.78753
ZS01g0079100,4.94365
ZS01g0079200,17.5258
ZS01g0079300,26.4654
ZS01g0079400,12.0889
ZS01g0079500,8.91123
ZS01g0079600,20.9286
ZS01g0079700,53.9822
ZS01g0079800,4.69439
ZS01g0079900,4.22305
ZS01g0080000,31.4966
ZS01g0080100,4.11531
ZS01g0080200,0.296901
ZS01g0080300,2.15205
ZS01g0080400,1.64238
ZS01g0080500,49.6132
ZS01g0080600,0
ZS01g0080700,5.84359
ZS01g0080800,0
ZS01g0080900,0.373372
ZS01g0081000,4.12085
ZS01g0081100,0
ZS01g0081200,0.0139921
ZS01g0081300,0
ZS01g0081400,0
ZS01g0081500,0.129117
ZS01g0081600,35.6361
ZS01g0081700,7.2607
ZS01g0081800,3.31072
ZS01g0081900,2.47173
ZS01g0082000,514.028
ZS01g0082100,12.0799
ZS01g0082200,7.94113
ZS01g0082300,8.72128
ZS01g0082400,1.4335
ZS01g0082500,0.082093
ZS01g0082600,0.676277
ZS01g0082700,5.70123
ZS01g0082800,1.205
ZS01g0082900,18.4337
ZS01g0083000,0.617806
ZS01g0083100,5.69724
ZS01g0083200,0.0265678
ZS01g0083300,28.1437
ZS01g0083400,0
ZS01g0083500,6.97397
ZS01g0083600,4.51466
ZS01g0083700,37.3821
ZS01g0083800,0.61871
ZS01g0083900,51.2773
ZS01g0084000,49.5636
ZS01g0084100,18.2482
ZS01g0084200,6.4508
ZS01g0084300,0.308781
ZS01g0084400,0
ZS01g0084500,1.29922
ZS01g0084600,0
ZS01g0084700,13.9906
ZS01g0084800,0
ZS01g0084900,0.08875
ZS01g0085000,25.6663
ZS01g0085100,12.5283
ZS01g0085200,0.334102
ZS01g0085300,0
ZS01g0085400,0
ZS01g0085500,24.5559
ZS01g0085600,6.44872
ZS01g0085700,0.829052
ZS01g0085800,0
ZS01g0085900,8.56359
ZS01g0086000,0.603769
ZS01g0086100,21.3774
ZS01g0086200,3.90033
ZS01g0086300,48.0477
ZS01g0086400,0
ZS01g0086500,0
ZS01g0086600,0
ZS01g0086700,0
ZS01g0086800,0
ZS01g0086900,0
ZS01g0087000,2.05318
ZS01g0087100,36.7837
ZS01g0087200,7.0306
ZS01g0087300,1.34754
ZS01g0087400,1.8824
ZS01g0087500,0
ZS01g0087600,1.08436
ZS01g0087700,75.0734
ZS01g0087800,177.268
ZS01g0087900,0
ZS01g0088000,13.0714
ZS01g0088100,68.0991
ZS01g0088200,0
ZS01g0088300,31.9207
ZS01g0088400,5.67938
ZS01g0088500,53.4954
ZS01g0088600,0
ZS01g0088700,0
ZS01g0088800,0
ZS01g0088900,0
ZS01g0089000,0.781028
ZS01g0089100,0
ZS01g0089200,0
ZS01g0089300,24.45
ZS01g0089400,0.180094
ZS01g0089500,0
ZS01g0089600,0
ZS01g0089700,39.5135
ZS01g0089800,0.981904
ZS01g0089900,6.20859
ZS01g0090000,0
ZS01g0090100,0.0981512
ZS01g0090200,0.577349
ZS01g0090300,0.239498
ZS01g0090400,3.41997
ZS01g0090500,7.50089
ZS01g0090600,2.56799
ZS01g0090700,15.7862
ZS01g0090800,0
ZS01g0090900,2.47388
ZS01g0091000,14.1567
ZS01g0091100,0
ZS01g0091200,1.02283
ZS01g0091300,2.77581
ZS01g0091400,8.09413
ZS01g0091500,11.1995
ZS01g0091600,38.6718
ZS01g0091700,35.8299
ZS01g0091800,0
ZS01g0091900,0
ZS01g0092000,1.27128
ZS01g0092100,0
ZS01g0092200,0
ZS01g0092300,0
ZS01g0092400,0
ZS01g0092500,0
ZS01g0092600,0.198685
ZS01g0092700,0
ZS01g0092800,6.64448
ZS01g0092900,4.81086
ZS01g0093000,6.19292
ZS01g0093100,14.8686
ZS01g0093200,0
ZS01g0093300,0
ZS01g0093400,0
ZS01g0093500,5.92988
ZS01g0093600,0.354979
ZS01g0093700,4.71217
ZS01g0093800,0.0131067
ZS01g0093900,1.13995
ZS01g0094000,36.9484
ZS01g0094100,0.222826
ZS01g0094200,0
ZS01g0094300,10.1359
ZS01g0094400,0.073735
ZS01g0094500,9.69939
ZS01g0094600,0
ZS01g0094700,0.253704
ZS01g0094800,16.1184
ZS01g0094900,20.2924
ZS01g0095000,8.91875
ZS01g0095100,0.109938
ZS01g0095200,6.19987
ZS01g0095300,6.75686
ZS01g0095400,7.62695
ZS01g0095500,0
ZS01g0095600,0
ZS01g0105600,2.0821
ZS01g0105700,17.35
ZS01g0105800,0.585334
ZS01g0105900,0
ZS01g0106000,0.412096
ZS01g0106100,0
ZS01g0106200,0.0458177
ZS01g0106300,0
ZS01g0106400,62.7416
ZS01g0106500,0.147122
ZS01g0106600,0
ZS01g0106700,8.56496
ZS01g0106800,16.517
ZS01g0106900,0
ZS01g0107000,0
ZS01g0107100,27.8847
ZS01g0107200,0.0667843
ZS01g0107300,0.486901
ZS01g0107400,32.1538
ZS01g0107500,0
ZS01g0107600,2.9268
ZS01g0107700,2.46197
ZS01g0107800,0
ZS01g0107900,0
ZS01g0108000,6.16322
ZS01g0108100,3.50368
ZS01g0108200,2.39104
ZS01g0108300,2.88943
ZS01g0108400,8.07434
ZS01g0108500,4.49768
ZS01g0108600,4.39077
ZS01g0108700,61.0851
ZS01g0108800,11.5818
ZS01g0108900,4.03684
ZS01g0109000,6.72839
ZS01g0109100,1.94918
ZS01g0109200,0
ZS01g0109300,14.4885
ZS01g0109400,11.481
ZS01g0109500,0.573447
ZS01g0109600,0.555882
ZS01g0109700,2.25122
ZS01g0109800,0
ZS01g0109900,21.2334
ZS01g0110000,0.253236
ZS01g0110100,1.85974
ZS01g0110200,0
ZS01g0110300,0
ZS01g0110400,0.0476804
ZS01g0110500,1.38043
ZS01g0110600,0
ZS01g0110700,2.32733
ZS01g0110800,7.43801
ZS01g0110900,0
ZS01g0111000,36.2319
ZS01g0111100,31.0962
ZS01g0111200,13.7395
ZS01g0111300,0.035765
ZS01g0111400,0
ZS01g0111500,4.68667
ZS01g0111600,16.4105
ZS01g0111700,0.0123575
ZS01g0111800,0
ZS01g0111900,0
ZS01g0112000,0
ZS01g0112100,3.62007
ZS01g0112200,0
