tracking_id,ID,ear_2,ear_1,ear_0,average-ear,ear-category,tassel_2,tassel_1,tassel_0,average-tassel,tassel-category
Zm00001d005297,4615,32.8425,34.2918,36.1961,34.44346667,highly-expressed,32.6985,30.7739,31.3752,31.61586667,highly-expressed
Zm00001d005298,4616,148.548,151.771,143.416,147.9116667,highly-expressed,115.956,125.827,116.401,119.3946667,highly-expressed
Zm00001d005299,4617,0,0,0,0,unexpressed,0.112629,0,0,0.037543,unexpressed
Zm00001d005300,4618,2.16715,5.14463,3.59778,3.63652,expressed,5.40763,4.06689,7.3732,5.615906667,expressed
Zm00001d005301,4619,18.5325,17.7171,17.864,18.03786667,highly-expressed,16.6798,18.4358,17.8366,17.65073333,highly-expressed
Zm00001d005302,4620,16.8001,18.5253,15.5995,16.97496667,highly-expressed,17.7088,17.8871,18.0324,17.8761,highly-expressed
Zm00001d005303,4621,32.0169,32.4825,31.2057,31.9017,highly-expressed,30.8487,30.3447,30.4165,30.53663333,highly-expressed
Zm00001d005304,4622,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005305,4623,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005306,4624,0.918868,0.981483,0.786696,0.895682333,expressed,1.0483,0.808674,1.08306,0.980011333,expressed
Zm00001d005307,4625,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005308,4626,11.4104,10.632,10.2155,10.75263333,expressed,10.9657,9.83205,11.2048,10.66751667,expressed
Zm00001d005309,4627,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005310,4628,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005311,4629,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005312,4630,31.2762,28.1796,29.3593,29.60503333,highly-expressed,19.7926,14.3539,19.5282,17.89156667,highly-expressed
Zm00001d005313,4631,3.17151,3.09001,3.37102,3.210846667,expressed,3.01394,2.62862,3.29335,2.978636667,expressed
Zm00001d005315,4632,69.6442,55.0068,65.6009,63.4173,highly-expressed,84.1648,82.1619,74.2703,80.199,highly-expressed
Zm00001d005317,4633,12.592,11.4109,14.1329,12.71193333,expressed,10.3983,10.8219,10.7316,10.6506,expressed
Zm00001d005322,4634,0.436131,0.258525,0.444765,0.379807,expressed,0,0,0.4175,0.139166667,expressed
Zm00001d005323,4635,37.8446,36.3274,37.6058,37.25926667,highly-expressed,28.2754,31.3101,31.3028,30.2961,highly-expressed
Zm00001d005324,4636,0.803269,0.472078,0.576136,0.617161,expressed,0.569145,0.820279,0.646341,0.678588333,expressed
Zm00001d005325,4637,0.936917,1.92362,1.89857,1.586369,expressed,1.91118,0.622235,0.676301,1.069905333,expressed
Zm00001d005327,4638,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005328,4639,11.8612,12.9726,11.6607,12.16483333,expressed,9.27867,9.76013,10.1146,9.7178,expressed
Zm00001d005329,4640,5.07935,4.7603,5.58094,5.140196667,expressed,6.81684,5.42764,5.53549,5.926656667,expressed
Zm00001d005330,4641,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005332,4642,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005333,4643,0,0,0.42188,0.140626667,expressed,0,0,0,0,unexpressed
Zm00001d005334,4644,188.727,175.65,176.261,180.2126667,highly-expressed,196.035,207.792,198.284,200.7036667,highly-expressed
Zm00001d005336,4645,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005337,4646,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005338,4647,61.1049,60.0951,61.5347,60.91156667,highly-expressed,59.5728,61.6783,59.1026,60.1179,highly-expressed
Zm00001d005339,4648,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005342,4649,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005343,4650,47.6846,42.1545,46.1903,45.34313333,highly-expressed,40.7286,42.5513,41.8998,41.72656667,highly-expressed
Zm00001d005344,4651,65.498,75.9505,87.5009,76.31646667,highly-expressed,62.7331,69.0126,71.5143,67.75333333,highly-expressed
Zm00001d005345,4652,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005346,4653,10.1267,7.50046,8.55064,8.725933333,expressed,11.5941,11.2064,10.4672,11.08923333,expressed
Zm00001d005347,4654,59.3399,57.2904,55.4329,57.3544,highly-expressed,58.4186,54.0658,59.6664,57.3836,highly-expressed
Zm00001d005348,4655,5.88668,5.77631,5.82689,5.82996,expressed,5.16584,5.52736,5.39496,5.36272,expressed
Zm00001d005349,4656,5.99616,5.73429,5.19371,5.641386667,expressed,5.80929,5.10292,5.68227,5.531493333,expressed
Zm00001d005350,4657,10.4853,9.49432,10.8195,10.26637333,expressed,9.68475,9.64353,9.56662,9.631633333,expressed
Zm00001d005351,4658,42.0126,44.1623,40.7236,42.2995,highly-expressed,46.5604,49.9321,41.4998,45.99743333,highly-expressed
Zm00001d005354,4659,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005355,4660,21.0442,21.4898,20.8556,21.12986667,highly-expressed,16.1651,15.7533,18.3473,16.75523333,highly-expressed
Zm00001d005356,4661,27.5919,25.2711,26.4511,26.43803333,highly-expressed,21.6014,21.2006,22.0001,21.6007,highly-expressed
Zm00001d005357,4662,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005358,4663,40.3331,39.9738,40.9884,40.43176667,highly-expressed,33.8713,34.3975,33.2724,33.84706667,highly-expressed
Zm00001d005359,4664,8.21168,9.98551,8.86051,9.019233333,expressed,9.72841,10.8264,9.33871,9.964506667,expressed
Zm00001d005360,4665,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005361,4666,20.3325,18.0356,16.7166,18.36156667,highly-expressed,14.8965,15.544,16.522,15.65416667,highly-expressed
Zm00001d005362,4667,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005363,4668,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005364,4669,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005365,4670,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005366,4671,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005367,4672,0,0.263129,0,0.087709667,unexpressed,0,0,0,0,unexpressed
Zm00001d005368,4673,13.1091,12.7637,14.1519,13.34156667,expressed,14.1972,13.7691,14.7267,14.231,expressed
Zm00001d005369,4674,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005370,4675,15.0572,13.2532,13.7491,14.01983333,expressed,13.7614,13.8129,12.7375,13.43726667,expressed
Zm00001d005371,4676,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005372,4677,12.0538,12.7906,12.0402,12.29486667,expressed,11.6345,11.8767,11.8265,11.77923333,expressed
Zm00001d005373,4678,41.1495,42.4351,42.653,42.0792,highly-expressed,44.4151,41.0072,43.8676,43.09663333,highly-expressed
Zm00001d005374,4679,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005375,4680,0,0,0,0,unexpressed,0,0.41503,0,0.138343333,expressed
Zm00001d005376,4681,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005377,4682,4.16514,3.76528,2.8705,3.600306667,expressed,9.24474,8.577,9.72207,9.18127,expressed
Zm00001d005378,4683,0,0,0.281188,0.093729333,unexpressed,0,0.332407,0.528936,0.287114333,expressed
Zm00001d005379,4684,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005380,4685,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005381,4686,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005383,4687,1.60439,0.347528,0.737276,0.896398,expressed,6.95681,5.45615,5.83158,6.081513333,expressed
Zm00001d005384,4688,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005387,4689,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005389,4690,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005391,4691,0.406849,0.473293,0,0.293380667,expressed,0,0.457033,0.386991,0.281341333,expressed
Zm00001d005392,4692,78.7709,76.8377,79.605,78.40453333,highly-expressed,79.0848,73.5722,73.4115,75.35616667,highly-expressed
Zm00001d005393,4693,16.634,16.7889,16.5948,16.67256667,highly-expressed,15.0928,16.6403,15.692,15.80836667,highly-expressed
Zm00001d005394,4694,67.6013,78.5776,69.384,71.8543,highly-expressed,73.7923,71.7119,84.1952,76.56646667,highly-expressed
Zm00001d005395,4695,17.0622,19.1792,19.0346,18.42533333,highly-expressed,17.4382,17.2844,17.714,17.47886667,highly-expressed
Zm00001d005396,4696,9.22219,8.80334,9.11599,9.047173333,expressed,7.46603,10.3177,8.19493,8.659553333,expressed
Zm00001d005397,4697,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005398,4698,0.0357142,0,0,0.011904733,unexpressed,0,0,0.0345876,0.0115292,unexpressed
Zm00001d005399,4699,8.81714,8.62439,9.23383,8.891786667,expressed,7.27254,9.66701,10.7473,9.22895,expressed
Zm00001d005400,4700,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005402,4701,10.5253,9.54949,10.2966,10.12379667,expressed,10.3695,8.96048,8.94114,9.423706667,expressed
Zm00001d005403,4702,25.3098,22.6011,21.6284,23.17976667,highly-expressed,23.8596,23.5683,22.9295,23.45246667,highly-expressed
Zm00001d005404,4703,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005406,4704,26.2963,28.1211,26.372,26.9298,highly-expressed,25.868,25.1086,25.1076,25.3614,highly-expressed
Zm00001d005407,4705,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005410,4706,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005416,4707,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005419,4708,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005420,4709,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005421,4710,114.884,119.784,129.321,121.3296667,highly-expressed,156.168,155.155,159.578,156.967,highly-expressed
Zm00001d005422,4711,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005423,4712,1.3739,1.60404,0,0.992646667,expressed,0,0.79474,0,0.264913333,expressed
Zm00001d005424,4713,19.837,18.8698,19.8305,19.51243333,highly-expressed,17.8697,18.3662,17.5024,17.91276667,highly-expressed
Zm00001d005425,4714,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005426,4715,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005427,4716,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005428,4717,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005429,4718,5.27483,4.73201,4.48196,4.8296,expressed,4.1399,4.07337,4.41914,4.210803333,expressed
Zm00001d005430,4719,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d005431,4720,3.94282,3.7416,3.60242,3.76228,expressed,2.90343,3.16456,3.08091,3.049633333,expressed
