Annotation1,exp
TraesCS2B02G603500,0.21
TraesCS2B02G366400,0.01
TraesCS2A02G177200,1.02
TraesCS2B02G125500,0.0
TraesCS4B02G370200,2.24
TraesCS4B02G074500,0.0
TraesCS6A02G414500,0.77
TraesCS1D02G117800,1.07
TraesCS2A02G105800,0.0
TraesCS2B02G213300,0.02
TraesCS3B02G553500,0.05
TraesCS6D02G142500,0.04
TraesCS7B02G323700,3.32
TraesCS3D02G318400,4.22
TraesCS5D02G482600,0.0
TraesCS3B02G030800,0.0
TraesCS5B02G224100,0.12
TraesCS5D02G199900,0.02
TraesCS3A02G151900,19.41
TraesCS5B02G368400,0.05
TraesCS7D02G022500,1.18
TraesCS7D02G093800,0.04
TraesCS7D02G478900,0.0
TraesCS3D02G478400,0.0
TraesCS4B02G017000,4.84
TraesCS6D02G171300,3.64
TraesCS4D02G324500,0.0
TraesCS3B02G129500,3.23
TraesCS5D02G264100,0.0
TraesCS3A02G092300,0.05
TraesCS4D02G034200,3.94
TraesCS3B02G259100,0.06
TraesCS2D02G512200,0.42
TraesCS7A02G067500,0.11
TraesCS7A02G457100,3.47
TraesCS2D02G398100,0.01
TraesCS6B02G166200,0.0
TraesCS4B02G366900,0.93
TraesCS4B02G196600,4.76
TraesCS3D02G144900,2.68
TraesCS1A02G367700,0.0
TraesCS1B02G034300,0.0
TraesCS4B02G338900,1.82
TraesCS2B02G079900,0.66
TraesCS1D02G403800,0.04
TraesCS3D02G248400,3.63
TraesCS7A02G246000,0.21
TraesCS5A02G256000,0.0
TraesCS1A02G300300,7.44
TraesCS2D02G142700,0.19
TraesCS6B02G473800,0.0
TraesCS3A02G333200,6.78
TraesCS3B02G337500,12.85
TraesCS2B02G065900,0.0
TraesCS1B02G228400,0.0
TraesCS5D02G019100,0.0
TraesCS1D02G160800,3.26
TraesCS2B02G194700,5.59
TraesCS5D02G052400,2.63
TraesCS2A02G000200,2.36
TraesCS4A02G047300,0.0
TraesCS5A02G384800,3.74
TraesCS6D02G165100,0.0
TraesCS7D02G539000,0.0
TraesCS3A02G286300,0.0
TraesCS3B02G332300,6.96
TraesCS4A02G116100,1.54
TraesCS1A02G412900,16.67
TraesCS3A02G021300,4.72
TraesCS2D02G041000,0.48
TraesCS1D02G318500,0.0
TraesCS2B02G099500,51.98
TraesCS6B02G263900,0.46
TraesCS7A02G223700,2.06
TraesCS6D02G104400,0.0
TraesCS6B02G237100,2.98
TraesCS4D02G267900,14.9
TraesCS3A02G173300,8.52
TraesCS3A02G519600,0.0
TraesCS3B02G510100,0.04
TraesCS4D02G166700,14.29
TraesCS1D02G358000,0.0
TraesCS3A02G222300,13.84
TraesCS2A02G027500,0.08
TraesCS7A02G127700,14.77
TraesCS7A02G172700,3.53
TraesCS6B02G400700,1.54
TraesCS1B02G298500,1.41
TraesCS7B02G487200,0.0
TraesCS1B02G234400,10.03
TraesCS5A02G045100,0.82
TraesCS5B02G387000,0.07
TraesCS2B02G601700,0.0
TraesCS7D02G049200,3.38
TraesCS2D02G325100,0.0
TraesCS2A02G416700,7.14
TraesCS5A02G453600,0.0
TraesCS2D02G559800,0.0
TraesCS3D02G407500,0.46
TraesCS7B02G075400,0.0
TraesCS2A02G504500,0.0
TraesCS7A02G538000,0.0
TraesCS5D02G253300,0.3
TraesCS7D02G532400,0.99
TraesCS6D02G034000,0.0
TraesCS6B02G190100,1.21
TraesCS7A02G091200,0.66
TraesCS2A02G445900,0.18
TraesCS3B02G124100,5.2
TraesCS4A02G335800,0.01
TraesCS2D02G511000,0.0
TraesCS1D02G401000,0.0
TraesCS2B02G001400,0.01
TraesCS7B02G242100,4.5
TraesCS6A02G070900,0.01
TraesCS7A02G208400,0.0
TraesCS4A02G390200,0.0
TraesCS5A02G456900,3.58
TraesCS4B02G221500,0.02
TraesCS2A02G542200,0.0
TraesCS4A02G125400,0.38
TraesCS7B02G032300,0.0
TraesCS5B02G405000,1.69
TraesCS1D02G332500,14.98
TraesCS7B02G235000,0.0
TraesCS6D02G210200,1.07
TraesCS7A02G464200,1.99
TraesCS7A02G012700,0.59
TraesCS1B02G298400,0.53
TraesCS2A02G045000,1.25
TraesCS2A02G409500,0.14
TraesCS6A02G367300,0.11
TraesCS7D02G466000,6.93
TraesCS1D02G004900,13.16
TraesCS2B02G398800,0.0
TraesCS2D02G109200,0.02
TraesCS3D02G234200,0.0
TraesCS5D02G272400,0.0
TraesCS6B02G260800,16.66
TraesCS3A02G267300,7.19
TraesCS2B02G449800,0.0
TraesCS4B02G307800,7.05
TraesCS7D02G042200,0.0
TraesCS1B02G247500,0.0
TraesCS3B02G108700,0.05
TraesCS2D02G262500,0.0
TraesCS5B02G016700,0.36
TraesCS1B02G392200,0.01
TraesCS1A02G045700,25.45
TraesCS3B02G386800,1.2
TraesCS7A02G052600,0.0
TraesCS6B02G383000,0.2
TraesCS6A02G320000,2.92
TraesCS4B02G395700,6.62
TraesCS3B02G033600,0.0
TraesCS7A02G132700,21.81
TraesCS2D02G007800,0.0
TraesCS5A02G203500,14.78
TraesCS2D02G122100,0.26
TraesCS5B02G111100,3.27
TraesCS3D02G373400,0.0
TraesCS1A02G367200,0.01
TraesCS5A02G220100,0.0
TraesCS5D02G096500,0.1
TraesCS1D02G444800,0.0
TraesCS5A02G446000,0.69
TraesCS1B02G331900,8.03
TraesCS6D02G398800,0.0
TraesCS5D02G235300,1.11
TraesCS2B02G093800,0.0
TraesCS5B02G397900,6.27
TraesCS1D02G316000,0.0
TraesCS7B02G342200,1.33
TraesCS4B02G213900,6.16
TraesCS7B02G130400,0.0
TraesCS5D02G226900,0.2
TraesCS2A02G072400,9.19
TraesCS7B02G041800,0.0
TraesCS3D02G354600,5.72
TraesCS7B02G301800,0.0
TraesCS6B02G087300,0.0
TraesCS4A02G223100,1.2
TraesCS3D02G364100,4.36
TraesCS7D02G448800,0.07
TraesCS7B02G476300,2.29
TraesCS2B02G057200,0.91
TraesCS4A02G479200,0.09
TraesCS4D02G347600,0.48
TraesCS1D02G060100,0.0
TraesCS5A02G507000,0.0
TraesCS4D02G080300,0.0
TraesCS5A02G194200,2.29
TraesCS7D02G107900,0.54
TraesCS6D02G320100,0.01
TraesCS6A02G010400,0.0
TraesCS7A02G275000,0.0
TraesCS2B02G015000,0.0
TraesCS1A02G358300,0.88
TraesCS1B02G129200,0.0
TraesCS3A02G138100,0.75
TraesCS4D02G103200,3.79
TraesCS5A02G320600,3.35
TraesCS1D02G370500,0.0
TraesCS3B02G434200,0.02
TraesCS2A02G040100,13.45
TraesCS2A02G352300,7.5
TraesCS3D02G338400,7.57
TraesCS7B02G121900,0.0
TraesCS5A02G403800,6.91
TraesCS4D02G280000,0.0
TraesCS4D02G221700,2.2
TraesCS5D02G060200,19.87
TraesCS7A02G254600,0.0
TraesCS6B02G330600,0.09
TraesCS3B02G054200,2.3
TraesCS6B02G232700,0.0
TraesCS3B02G601700,57.36
TraesCS1D02G020619,0.2
TraesCS5A02G003000,0.0
TraesCS7A02G345300,0.86
TraesCS2D02G418100,0.0
TraesCS7D02G176200,20.78
