Annotation1,exp
TraesCS5B02G320300,9.22
TraesCS1D02G316500,0.0
TraesCS7D02G303000,0.01
TraesCS6B02G199500,2.18
TraesCS2A02G111400,1.25
TraesCS5A02G051900,0.0
TraesCS4A02G327600,0.0
TraesCS5B02G572800,0.0
TraesCS7A02G204200,9.42
TraesCS5D02G525500,0.02
TraesCS6A02G306100,3.34
TraesCS3B02G341700,0.7
TraesCS3A02G413500,1.19
TraesCS1B02G410500,0.0
TraesCS5A02G557000,0.0
TraesCS7A02G272600,1.03
TraesCS1B02G111700,0.54
TraesCS5D02G316700,6.25
TraesCS5A02G295500,0.01
TraesCS7B02G493700,14.27
TraesCS1B02G403200,0.0
TraesCS1D02G020900,0.0
TraesCS2A02G525400,0.22
TraesCS3D02G311300,0.0
TraesCS1A02G245000,3.4
TraesCS7D02G534400,0.0
TraesCS1D02G388100,7.83
TraesCS7D02G468400,0.0
TraesCS2A02G438000,0.01
TraesCS7A02G223100,1.86
TraesCS3B02G580400,0.1
TraesCS7D02G439300,0.08
TraesCS4B02G344000,0.01
TraesCS2D02G457300,0.05
TraesCS2D02G153900,0.0
TraesCS1D02G428700,4.07
TraesCS6A02G261900,0.5
TraesCS4A02G191400,2.62
TraesCS3A02G175600,3.44
TraesCS1A02G366100,0.0
TraesCS1B02G009000,0.56
TraesCS2D02G599500,2.08
TraesCS6A02G032100,0.0
TraesCS7D02G432800,0.13
TraesCS7A02G169600,0.05
TraesCS2D02G176900,1.8
TraesCS2B02G134900,0.0
TraesCS5D02G045600,18.68
TraesCS1B02G007600,0.02
TraesCS4A02G416800,1.4
TraesCS5B02G143100,0.21
TraesCS1B02G116700,2.12
TraesCS5D02G111900,0.07
TraesCS5D02G343500,0.62
TraesCS7D02G383000,0.27
TraesCS6B02G094000,0.01
TraesCS5B02G394300,105.84
TraesCS1A02G182800,1.36
TraesCS3A02G023200,3.54
TraesCS6B02G038800,0.3
TraesCS1D02G023900,0.0
TraesCS1D02G052000,0.58
TraesCS7D02G306600,26.77
TraesCS3B02G543300,1.29
TraesCS2A02G516800,0.0
TraesCS4A02G454700,0.0
TraesCS6A02G000600,1.98
TraesCS1A02G009200,6.03
TraesCS4A02G218700,0.47
TraesCS7D02G018600,0.02
TraesCS1A02G419400,2.35
TraesCS7B02G364700,1.81
TraesCS3A02G179300,0.0
TraesCS3B02G132500,0.06
TraesCS4D02G029900,8.03
TraesCS7B02G408300,0.05
TraesCS1B02G437800,0.01
TraesCS6B02G282400,2.98
TraesCS6B02G416400,0.0
TraesCS3B02G257900,0.9
TraesCS2D02G092200,0.0
TraesCS7B02G431700,3.01
TraesCS1B02G431700,0.0
TraesCS6A02G314800,0.44
TraesCS2A02G294100,0.0
TraesCS7D02G010100,0.08
TraesCS4B02G089700,0.54
TraesCS7D02G183100,0.0
TraesCS5A02G150000,0.13
TraesCS3B02G565500,3.11
TraesCS7A02G475800,1.13
TraesCS2A02G303100,0.23
TraesCS7D02G301200,0.05
TraesCS3D02G076200,4.73
TraesCS1A02G330800,0.52
TraesCS7A02G386400,12.01
TraesCS1A02G257500,1.21
TraesCS6D02G080600,0.9
TraesCS5B02G218200,0.1
TraesCS3B02G244900,0.05
TraesCS3A02G513100,0.36
TraesCS4B02G264100,5.34
TraesCS3D02G249800,0.0
TraesCS5B02G421400,1.0
TraesCS7D02G501100,0.16
TraesCS5B02G326100,0.01
TraesCS7A02G206000,0.0
TraesCS7A02G124400,0.03
TraesCS4A02G004400,0.04
TraesCS2A02G144400,2.07
TraesCS4D02G221600,0.11
TraesCS5B02G371800,9.77
TraesCS4D02G182100,0.02
TraesCS3A02G128300,0.0
TraesCS5B02G303400,0.9
TraesCS2B02G407700,0.43
TraesCS2D02G204700,1.36
TraesCS6B02G340700,0.02
TraesCS6B02G223800,15.16
TraesCS3B02G529200,0.0
TraesCS2D02G189200,1.85
TraesCS7D02G528600,41.82
TraesCS3D02G363000,2.77
TraesCS4A02G245900,9.87
TraesCS4D02G060100,1.62
TraesCS2B02G367100,5.06
TraesCS6D02G031400,0.0
TraesCS1D02G317100,1.0
TraesCS6D02G216300,5.16
TraesCS5B02G213500,0.17
TraesCS3B02G113100,0.0
TraesCS7B02G123700,0.19
TraesCS7B02G492500,0.0
TraesCS7B02G238400,4.52
TraesCS5A02G191100,1.74
TraesCS1D02G111300,14.08
TraesCS4D02G021200,8.44
TraesCS2A02G542400,0.15
TraesCS7D02G000400,2.42
TraesCS6D02G315300,0.27
TraesCS7D02G367900,6.24
TraesCS5B02G138600,2.0
TraesCS4B02G262300,0.21
TraesCS1A02G087300,0.03
TraesCS4D02G216600,0.06
TraesCS2D02G218900,0.02
TraesCS7A02G352600,2.15
TraesCS5D02G055400,4.55
TraesCS1A02G007934,0.0
TraesCS6A02G052300,0.08
TraesCS1D02G304600,0.0
TraesCS5D02G298700,0.97
TraesCS7D02G413500,5.98
TraesCS7D02G512900,0.37
TraesCS1B02G087900,0.01
TraesCS7A02G006800,0.0
TraesCS5D02G130300,2.14
TraesCS3A02G276700,2.44
TraesCS4D02G094400,16.68
TraesCS1D02G331200,0.0
TraesCS5D02G001700,0.0
TraesCS2B02G230200,3.13
TraesCS3B02G180800,0.92
TraesCS5A02G007800,19.0
TraesCS1B02G113100,0.0
TraesCS4B02G280600,0.01
TraesCS7D02G545000,0.0
TraesCS4D02G260100,11.77
TraesCS2D02G021500,0.02
TraesCS3B02G418400,0.02
TraesCS2A02G541700,0.0
TraesCS3B02G395100,1.53
TraesCS2A02G534100,0.0
TraesCS1D02G319800,0.0
TraesCS5B02G016400,0.01
TraesCS4A02G246700,0.0
TraesCS5D02G268000,42.02
TraesCS5B02G035300,1.35
TraesCS3D02G146000,0.01
TraesCS7B02G234600,0.0
TraesCS3B02G609500,1.14
TraesCS5B02G049900,0.0
TraesCS2D02G213300,1.82
TraesCS5A02G313300,0.03
TraesCS5D02G473500,4.1
TraesCS4D02G235500,5.39
TraesCS1B02G344100,6.0
TraesCS7A02G114400,0.0
TraesCS2B02G020000,0.01
TraesCS3D02G456800,0.06
TraesCS4D02G021600,0.0
TraesCS4D02G340000,0.0
TraesCS6A02G309100,6.58
TraesCS5B02G028300,5.23
TraesCS7B02G415000,3.91
TraesCS6D02G363100,0.32
TraesCS2D02G546100,1.35
TraesCS7B02G394700,0.12
TraesCS6B02G002100,0.04
TraesCS1B02G452800,0.0
TraesCS5B02G241800,19.4
TraesCS5A02G473200,0.37
TraesCS6B02G083000,0.0
TraesCS7A02G005700,0.0
TraesCS5A02G041200,0.0
TraesCS7A02G024274,0.01
TraesCS1B02G051900,0.0
TraesCS1D02G007626,0.0
TraesCS4D02G026900,1.45
TraesCS5B02G295200,4.23
TraesCS7A02G275200,0.0
TraesCS4A02G338100,0.0
TraesCS5B02G020100,0.04
TraesCS7D02G088100,0.0
TraesCS2B02G343300,0.02
TraesCS7D02G042800,0.0
TraesCS1D02G326900,0.0
TraesCS5A02G341600,0.35
TraesCS2B02G519200,0.1
TraesCS7A02G548500,0.0
TraesCS1D02G081200,13.15
TraesCS3B02G596800,0.0
TraesCS2D02G331000,0.45
TraesCS5D02G165400,0.03
TraesCS3B02G594900,0.0
TraesCS7D02G419300,0.78
TraesCS5D02G532200,0.11
TraesCS1B02G420000,4.22
TraesCS2B02G108200,5.88
TraesCS7D02G486000,0.0
TraesCS6B02G428400,3.14
TraesCS6A02G057000,0.09
TraesCS2B02G196400,0.0
TraesCS4A02G442100,0.18
TraesCS4A02G140500,2.24
TraesCS2B02G049400,0.16
TraesCS2D02G293400,82.21
TraesCS7A02G500800,0.0
TraesCS2B02G226400,0.24
TraesCS7D02G171100,0.01
TraesCS5D02G436700,0.0
TraesCS5B02G038600,0.02
TraesCS1D02G413900,0.0
TraesCS7A02G505600,0.0
TraesCS1D02G340100,0.0
TraesCS4B02G133800,0.0
TraesCS5B02G569100,0.04
TraesCS4D02G335300,0.01
TraesCS4D02G332900,1.38
TraesCS1A02G091300,2.93
TraesCS3A02G088000,0.01
TraesCS5D02G090400,2.07
TraesCS4A02G151000,21.54
TraesCS3D02G199600,3.06
TraesCS7B02G404700,0.14
TraesCS2A02G156000,0.0
TraesCS7A02G103900,0.0
TraesCS2D02G185600,0.07
TraesCS3B02G222900,3.26
TraesCS2B02G489000,0.0
TraesCS2B02G357200,0.04
TraesCS6A02G233800,0.06
TraesCS2D02G376400,9.37
TraesCS3A02G422600,20.4
TraesCS3A02G318000,0.0
TraesCS4A02G102700,8.54
TraesCS3D02G039200,7.43
TraesCS1D02G073000,0.03
TraesCS5B02G057300,4.94
TraesCS6A02G402200,0.0
TraesCS3B02G107700,0.0
TraesCS7D02G023700,0.0
TraesCS4A02G380600,0.57
TraesCS2A02G459700,6.9
TraesCS5B02G412400,0.36
TraesCS2B02G386900,149.27
TraesCS4A02G332600,0.09
TraesCS3D02G156000,0.01
TraesCS1B02G080900,0.0
TraesCS5A02G376700,5.51
TraesCS3D02G067400,0.67
TraesCS1A02G218700,13.03
TraesCS7A02G295100,9.36
TraesCS6A02G288200,0.0
TraesCS1D02G126700,10.74
TraesCS5B02G509200,0.05
TraesCS7B02G486900,0.26
TraesCS7B02G196300,1.26
TraesCS4A02G004300,0.0
TraesCS7A02G473300,0.0
TraesCS3A02G259300,2.01
TraesCS1D02G367400,0.0
TraesCS2A02G107800,0.38
TraesCS4A02G494600,0.0
TraesCS6A02G145200,0.0
TraesCS1B02G473200,0.0
TraesCS2D02G362200,0.22
TraesCS3A02G325600,0.28
TraesCS5B02G317000,14.95
TraesCS1A02G318400,0.0
TraesCS2D02G038800,5.87
TraesCS3D02G504400,0.0
TraesCS2B02G156800,0.0
TraesCS5B02G044300,4.72
TraesCS5A02G139900,0.01
TraesCS5B02G266100,0.09
TraesCS1A02G405800,7.66
TraesCS6B02G302400,14.6
TraesCS2D02G368900,2.87
TraesCS2A02G357400,5.94
TraesCS5A02G191300,7.46
TraesCS7B02G152000,1.28
TraesCS1B02G095400,0.04
TraesCS2B02G324900,0.01
TraesCS6A02G150700,0.0
TraesCS3D02G208300,0.0
TraesCS6B02G129900,0.0
TraesCS2D02G467500,0.26
TraesCS7D02G479600,0.0
TraesCS7A02G149100,0.0
TraesCS5A02G262100,0.0
TraesCS4D02G143900,0.07
TraesCS3D02G332700,8.09
TraesCS5B02G510900,10.81
TraesCS1D02G239000,1.1
TraesCS3A02G267700,2.52
TraesCS3D02G225000,0.02
TraesCS2A02G398600,0.12
TraesCS4D02G232800,0.0
TraesCS1A02G255800,4.6
TraesCS2D02G542800,0.0
TraesCS3B02G552900,0.04
TraesCS2B02G061600,0.13
TraesCS5D02G546200,0.0
TraesCS2A02G068600,0.0
TraesCS7B02G155200,0.0
TraesCS7A02G375500,2.81
TraesCS3D02G096100,0.0
TraesCS6A02G056800,0.01
TraesCS4A02G026800,0.06
TraesCS3B02G058500,0.38
TraesCS3D02G124500,0.03
TraesCS4A02G071200,3.86
TraesCS7B02G354300,1.25
TraesCS7D02G543700,9.32
TraesCS2D02G100200,0.0
TraesCS3D02G361200,0.15
TraesCS5A02G288200,2.83
TraesCS5B02G338500,0.0
TraesCS3A02G438600,0.03
TraesCS3B02G211600,3.41
TraesCS6D02G313900,0.0
TraesCS4D02G290600,0.6
TraesCS2A02G498100,5.37
TraesCS4A02G262000,0.0
TraesCS3A02G061900,0.06
TraesCS2D02G120900,0.0
TraesCS2B02G080700,0.72
TraesCS7D02G197500,2.45
TraesCS2A02G227100,8.69
TraesCS4A02G132600,0.06
TraesCS5A02G409600,4.68
TraesCS6A02G414800,0.03
TraesCS5B02G067300,0.0
TraesCS6B02G238100,0.69
TraesCS6A02G315900,0.0
TraesCS1D02G177400,5.71
TraesCS2B02G312800,0.1
TraesCS5B02G040100,50.36
TraesCS2B02G526400,2.65
TraesCS6A02G157700,0.06
TraesCS5A02G365200,0.04
TraesCS6D02G368800,37.97
TraesCS1B02G202200,0.77
TraesCS3D02G487000,0.0
TraesCS2B02G178600,1.09
TraesCS3D02G153800,0.0
TraesCS3B02G036600,0.0
TraesCS6D02G311500,0.0
TraesCS7D02G019600,0.0
TraesCS6A02G253300,41.95
TraesCS3A02G020700,0.0
TraesCS3B02G002400,0.03
TraesCS7A02G367500,0.02
TraesCS7A02G118200,0.0
TraesCS5D02G248800,1.38
TraesCS5B02G244100,0.0
TraesCS3D02G409200,0.72
TraesCS4A02G031700,28.76
TraesCS7D02G439100,0.02
TraesCS5D02G001500,8.12
TraesCS2D02G264300,11.83
TraesCS1D02G425000,2.54
TraesCS4A02G141400,3.65
TraesCS1B02G468300,0.0
TraesCS3B02G567100,0.03
TraesCS1A02G173400,53.98
TraesCS3B02G516500,0.0
TraesCS1B02G273600,26.32
TraesCS3A02G312900,2.37
TraesCS4A02G014000,4.37
TraesCS1B02G403000,0.0
TraesCS6D02G328100,0.0
TraesCS2A02G410300,0.04
TraesCS5B02G566700,0.72
TraesCS2D02G079200,1.35
TraesCS5D02G261600,2.09
TraesCS6A02G171400,0.4
TraesCS3B02G079400,0.16
TraesCS4D02G017700,11.1
TraesCS3A02G517700,7.77
TraesCS7B02G030700,1.75
TraesCS5B02G286000,0.24
TraesCS5A02G151800,4.94
TraesCS2D02G318300,0.0
TraesCS2B02G468200,5.92
TraesCS5B02G454800,6.78
TraesCS5A02G422600,0.0
TraesCS2B02G284300,0.02
TraesCS5B02G046400,0.0
TraesCS5B02G555600,0.03
TraesCS5B02G057900,0.0
TraesCS4A02G030600,0.0
TraesCS3B02G021300,0.01
TraesCS2D02G007600,0.0
TraesCS1D02G034900,1.58
TraesCS4B02G302400,3.38
TraesCS3B02G546300,0.04
TraesCS3A02G329500,12.31
TraesCS4D02G087100,5.38
TraesCS3D02G076600,0.0
TraesCS5D02G442700,0.0
TraesCS2D02G395500,0.05
TraesCS7D02G016300,2.71
TraesCS6D02G047200,0.0
TraesCS4B02G380300,1.61
TraesCS7A02G516900,0.0
TraesCS5B02G001800,0.0
TraesCS7D02G336000,0.91
TraesCS3B02G244400,1.15
TraesCS5A02G554400,0.0
TraesCS2D02G455400,0.08
TraesCS1B02G181400,0.0
TraesCS2A02G058100,0.0
TraesCS5A02G023900,0.96
TraesCS3D02G084800,34.56
TraesCS2D02G219500,3.33
TraesCS7A02G305900,5.81
TraesCS6B02G172000,0.21
TraesCS1D02G321100,0.34
TraesCS3D02G478300,0.0
TraesCS2D02G452900,2.19
TraesCS2D02G527700,0.25
TraesCS7A02G512700,0.02
TraesCS7B02G028500,0.09
TraesCS5A02G510400,0.0
TraesCS7D02G500500,0.0
TraesCS3B02G335000,11.89
TraesCS5D02G106100,0.0
TraesCS1D02G260800,0.08
TraesCS5B02G464200,0.01
TraesCS2B02G321200,10.95
TraesCS6A02G405100,2.67
TraesCS3B02G585200,0.0
TraesCS3B02G578800,0.0
TraesCS6B02G190300,0.18
TraesCS3D02G049700,0.0
TraesCS5B02G528200,0.98
TraesCS6B02G146900,0.11
TraesCS7D02G552100,0.0
TraesCS7A02G464800,0.14
TraesCS3A02G312200,1.71
TraesCS3D02G166100,0.47
TraesCS4D02G363800,3.24
TraesCS7A02G564500,0.01
TraesCS3A02G189100,0.51
TraesCS3A02G004500,0.0
TraesCS2B02G548800,0.0
TraesCS2B02G102600,0.0
TraesCS6B02G393200,0.15
TraesCS7B02G420000,0.77
TraesCS7B02G130300,1.51
TraesCS3B02G610300,0.0
TraesCS5D02G547200,0.0
TraesCS3A02G185600,0.0
TraesCS6B02G349100,0.0
TraesCS4B02G067500,20.69
TraesCS4D02G324700,0.0
TraesCS6B02G408900,0.0
TraesCS1A02G299300,0.05
TraesCS6B02G181800,0.0
TraesCS1B02G450100,5.99
TraesCS5D02G046900,0.42
TraesCS2D02G232400,24.68
TraesCS6A02G252000,4.19
TraesCS5D02G413900,1.31
TraesCS4D02G298500,2.66
TraesCS2B02G389600,16.23
TraesCS2D02G082000,8.48
TraesCS1A02G342400,0.0
TraesCS4A02G477300,0.0
TraesCS4A02G348300,0.0
TraesCS3D02G248700,3.17
TraesCS7A02G119900,0.21
TraesCS4B02G088200,17.51
TraesCS1A02G225200,4.82
TraesCS7A02G076200,0.0
TraesCS1A02G347500,0.0
TraesCS7B02G103000,0.25
TraesCS6B02G257400,0.87
TraesCS3A02G347100,0.22
TraesCS7A02G279200,8.58
TraesCS3A02G012200,6.71
TraesCS7A02G481400,6.33
TraesCS4B02G015600,14.95
TraesCS6B02G361900,0.03
TraesCS4B02G321000,2.48
TraesCS1A02G295500,0.0
TraesCS4B02G103700,0.12
TraesCS4D02G054000,0.89
TraesCS2A02G084100,0.0
TraesCS6D02G036100,0.32
TraesCS2B02G244500,0.04
TraesCS1A02G137700,14.92
TraesCS5A02G251000,26.04
TraesCS1A02G070200,0.24
TraesCS7A02G180400,0.0
TraesCS7D02G203900,0.65
TraesCS3D02G448000,3.93
TraesCS6B02G136000,0.25
TraesCS5D02G527700,0.0
TraesCS7A02G146600,0.0
TraesCS3B02G504500,0.0
TraesCS2B02G340600,0.0
TraesCS3D02G446900,0.01
TraesCS2B02G624400,0.15
TraesCS6D02G402100,0.0
TraesCS4D02G060600,0.0
TraesCS3D02G447400,0.11
TraesCS2B02G612800,0.0
TraesCS4A02G397800,1.88
TraesCS5A02G155300,9.29
TraesCS5B02G494900,0.3
TraesCS3B02G361000,3.13
TraesCS4D02G046100,4.44
TraesCS4A02G498800,0.45
TraesCS5D02G361100,0.29
TraesCS5D02G230500,24.82
TraesCS7A02G076300,0.0
TraesCS3D02G110800,0.03
TraesCS1D02G449400,0.22
TraesCS2D02G349000,2.27
TraesCS4D02G047507,0.99
TraesCS6B02G451100,8.18
TraesCS2A02G511000,27.59
TraesCS2A02G138400,0.0
TraesCS5B02G131200,6.99
TraesCS3B02G070600,2.7
TraesCS2A02G196100,0.0
TraesCS2B02G057000,3.4
TraesCS4B02G044500,1.93
TraesCS6B02G083800,0.07
TraesCS6B02G269700,2.8
TraesCS5A02G023700,0.0
TraesCS2A02G030300,0.03
TraesCS1A02G432500,0.01
TraesCS5B02G304400,1.61
TraesCS3D02G314200,7.27
TraesCS4B02G390200,0.0
TraesCS3B02G103900,0.0
TraesCS7B02G017700,0.0
TraesCS3A02G484300,10.64
TraesCS4A02G043200,0.03
TraesCS2B02G415800,0.82
TraesCS4B02G018100,0.02
TraesCS3A02G491400,0.05
TraesCS5D02G443800,0.53
TraesCS7B02G266900,5.26
TraesCS2B02G124000,0.0
TraesCS2D02G160900,0.0
TraesCS6B02G200800,42.24
TraesCS3A02G111700,0.38
TraesCS3B02G381300,0.07
TraesCS7D02G110000,0.0
TraesCS1B02G473600,7.47
TraesCS5A02G494300,0.07
TraesCS4A02G213600,0.48
TraesCS1B02G116900,0.32
TraesCS6A02G271500,0.09
TraesCS3D02G406500,0.64
TraesCS1B02G407200,0.1
TraesCS6D02G017400,0.01
TraesCS7D02G039000,0.0
TraesCS6D02G214200,3.92
TraesCS1B02G078700,0.19
TraesCS1D02G269000,10.94
TraesCS5B02G289000,0.0
TraesCS4A02G381300,0.81
TraesCS1B02G468400,0.0
TraesCS7D02G231000,1.14
TraesCS1A02G322700,0.34
TraesCS3B02G502400,0.28
TraesCS6D02G295300,2.73
TraesCS1B02G422700,0.0
TraesCS4D02G096600,0.41
TraesCS3A02G333100,8.12
TraesCS7B02G183300,7.99
TraesCS6D02G211200,0.19
TraesCS1A02G078500,0.0
TraesCS4A02G264700,0.06
TraesCS5A02G023100,0.17
TraesCS2A02G506200,2.43
TraesCS7D02G224100,0.11
TraesCS1B02G048400,0.01
TraesCS1D02G343900,1.53
TraesCS5D02G548700,0.12
TraesCS6B02G391700,0.0
TraesCS2D02G028300,0.01
TraesCS2D02G370900,1.31
TraesCS6D02G163600,17.25
TraesCS1D02G257600,1.94
TraesCS2B02G119000,0.1
TraesCS5A02G161600,1.65
TraesCS1D02G261500,0.02
TraesCS5B02G411000,0.0
TraesCS5A02G106200,68.76
TraesCS7A02G558600,0.01
TraesCS5D02G129500,1.95
TraesCS5D02G496800,25.71
TraesCS7B02G127600,6.92
TraesCS5D02G446400,7.8
TraesCS6D02G076300,0.0
TraesCS7D02G079800,0.0
TraesCS1A02G215600,4.21
TraesCS7B02G203300,0.13
TraesCS6A02G185700,4.73
TraesCS2B02G607800,0.0
TraesCS2A02G420000,12.68
TraesCS4B02G356100,0.11
TraesCS3A02G479900,0.0
TraesCS7B02G093900,0.65
TraesCS2A02G253800,11.98
TraesCS2D02G553400,4.48
TraesCS4D02G164600,4.88
TraesCS3B02G351800,0.0
TraesCS7A02G079500,0.0
TraesCS5D02G496300,0.94
TraesCS6B02G028500,0.0
TraesCS2D02G139200,0.0
TraesCS5D02G398100,0.45
TraesCS4D02G255500,15.23
TraesCS7B02G459200,0.0
TraesCS7A02G160800,0.42
TraesCS1D02G248900,4.45
TraesCS3D02G085000,11.19
TraesCS4A02G467900,0.63
TraesCS6D02G142000,0.0
TraesCS7D02G136300,9.85
TraesCS6D02G229100,0.04
TraesCS4A02G488300,0.0
TraesCS2A02G226200,5.86
TraesCS4B02G087300,0.87
TraesCS7A02G284300,6.26
TraesCS4A02G433100,0.0
TraesCS2D02G126600,5.54
TraesCS7A02G086000,0.0
TraesCS5A02G310800,18.66
TraesCS1D02G166200,0.0
TraesCS3B02G538000,0.0
TraesCS3B02G385500,4.1
TraesCS1D02G452900,6.71
TraesCS1B02G429200,9.93
TraesCS2A02G531500,9.15
TraesCS7A02G229200,0.17
TraesCS2D02G382400,0.04
TraesCS1D02G083800,0.0
TraesCS3B02G103700,0.0
TraesCS4A02G374600,11.14
TraesCS2A02G093100,0.0
TraesCS7D02G150000,0.72
TraesCS3B02G096300,0.0
TraesCS3B02G378300,0.0
TraesCS1D02G317300,0.69
TraesCS1D02G239200,9.19
TraesCS7D02G533800,0.37
TraesCS2D02G069200,0.0
TraesCS4A02G032900,6.78
TraesCS5D02G510100,0.55
TraesCS7D02G341000,0.03
TraesCS5D02G272200,0.06
TraesCS4B02G045200,0.0
TraesCS7B02G141900,0.2
TraesCS5A02G544521,0.0
TraesCS3D02G400000,0.66
TraesCS7B02G354200,26.3
TraesCS3A02G241300,3.82
TraesCS4A02G322200,2.06
TraesCS4D02G226500,0.0
TraesCS7A02G272200,106.53
TraesCS2B02G501000,0.0
TraesCS6B02G325400,0.0
TraesCS5D02G087200,0.0
TraesCS4D02G073000,0.0
TraesCS1D02G033600,0.0
TraesCS2A02G027600,0.0
TraesCS3B02G328300,0.0
TraesCS6D02G094500,0.0
TraesCS7D02G124400,15.39
TraesCS5B02G555900,1.5
TraesCS1A02G142500,5.93
TraesCS5B02G078400,0.34
TraesCS7B02G304100,0.0
TraesCS6D02G000600,0.11
TraesCS2D02G553300,0.33
TraesCS4D02G320400,0.0
TraesCS5A02G000600,4.01
TraesCS2D02G292200,0.17
TraesCS3B02G000600,0.0
TraesCS4B02G137000,0.0
TraesCS7B02G400900,0.0
TraesCS2A02G535200,0.0
TraesCS5A02G273300,0.53
TraesCS2D02G216900,0.22
TraesCS5A02G258900,0.0
TraesCS2D02G533500,0.71
TraesCS3B02G283700,4.71
TraesCS4A02G440600,6.43
TraesCS3A02G287400,29.68
TraesCS1B02G464000,0.01
TraesCS1D02G204900,19.27
TraesCS4B02G036300,0.0
TraesCS1D02G226000,0.0
TraesCS2D02G066000,2.13
TraesCS5B02G227300,0.04
TraesCS4B02G241500,0.22
TraesCS2A02G200800,0.77
TraesCS7A02G420500,0.0
TraesCS7B02G046900,0.0
TraesCS5D02G423600,0.0
TraesCS5B02G350600,0.0
TraesCS7A02G358900,0.63
TraesCS2D02G575000,0.02
TraesCS3B02G397100,0.18
TraesCS4D02G249000,9.33
TraesCS4A02G264200,0.11
TraesCS7A02G444800,0.06
TraesCS5B02G211100,0.08
TraesCS4B02G012300,0.74
TraesCS5A02G337400,0.01
TraesCS7D02G524000,0.45
TraesCS6A02G021700,0.0
TraesCS5D02G190400,0.68
TraesCS1A02G155700,1.87
TraesCS3B02G173500,5.41
TraesCS5B02G261400,0.0
TraesCS3D02G115200,0.0
TraesCS5A02G073600,0.8
TraesCS5A02G483200,1.09
TraesCS6A02G159700,0.84
TraesCS6A02G254500,5.67
TraesCS6B02G086600,0.0
TraesCS2A02G354200,40.8
TraesCS3B02G360100,0.11
TraesCS2A02G228000,10.25
TraesCS4D02G352000,0.0
TraesCS4A02G420000,0.02
TraesCS3B02G280800,8.26
TraesCS7A02G021700,9.21
TraesCS1A02G392700,0.0
TraesCS3A02G044800,0.12
TraesCS2A02G168500,8.13
TraesCS1A02G220500,1.01
TraesCS7D02G524400,11.22
TraesCS3B02G544500,0.0
TraesCS3A02G064600,1.37
TraesCS3B02G101500,0.01
TraesCS3D02G305300,0.02
TraesCS5B02G164200,6.92
TraesCS2B02G225200,8.78
TraesCS6B02G413300,0.0
TraesCS5B02G509600,25.79
TraesCS6A02G102000,0.34
TraesCS4D02G120300,0.0
TraesCS7B02G251200,0.55
TraesCS3B02G424700,0.6
TraesCS3D02G232700,0.0
TraesCS6B02G439800,29.02
TraesCS7D02G389800,4.92
TraesCS2B02G601300,0.03
TraesCS4D02G294400,0.0
TraesCS2B02G388800,0.5
TraesCS1B02G189500,9.2
TraesCS1B02G179800,0.04
TraesCS5D02G066900,0.0
TraesCS3A02G520800,0.0
TraesCS3A02G395000,9.63
TraesCS7D02G011200,0.06
TraesCS5D02G174200,0.45
TraesCS3B02G518800,0.0
TraesCS6A02G321500,0.02
TraesCS7A02G417900,0.1
TraesCS5B02G226000,0.73
TraesCS7A02G348200,0.01
TraesCS3B02G213400,17.21
TraesCS4B02G359400,0.0
TraesCS5D02G402400,5.02
TraesCS4A02G297600,3.72
TraesCS1A02G329300,0.34
TraesCS7D02G477800,0.05
TraesCS1D02G026600,0.03
TraesCS4B02G161200,11.14
TraesCS2B02G560700,0.29
TraesCS5D02G447000,0.13
TraesCS2A02G153500,1.05
TraesCS3A02G319100,0.37
TraesCS2D02G156800,0.14
TraesCS5A02G407400,0.06
TraesCS5B02G314200,0.15
TraesCS7D02G120200,0.3
TraesCS2A02G218200,2.81
TraesCS3D02G176300,0.0
TraesCS7D02G068000,0.25
TraesCS3D02G285600,0.0
TraesCS4B02G029900,0.0
TraesCS6B02G040400,12.24
TraesCS3D02G352600,0.0
TraesCS3B02G588000,0.01
TraesCS5D02G419400,13.95
TraesCS5D02G307500,0.0
TraesCS1A02G353000,0.0
TraesCS7D02G094600,0.0
TraesCS2D02G321100,0.97
TraesCS5A02G171900,1.23
TraesCS7A02G119300,0.25
TraesCS6A02G355700,0.01
TraesCS7D02G419200,0.0
TraesCS4B02G322300,0.0
TraesCS2B02G101300,0.07
TraesCS3B02G132900,3.22
TraesCS3B02G154700,2.34
TraesCS2A02G319300,1.92
TraesCS3B02G596400,0.0
TraesCS7A02G141600,3.96
TraesCS2B02G396900,2.2
TraesCS5B02G006600,0.0
TraesCS4D02G249700,1.45
TraesCS1D02G149800,215.18
TraesCS3B02G519700,0.0
TraesCS7A02G434900,0.0
TraesCS7A02G373800,0.06
TraesCS4A02G257300,1.51
TraesCS2A02G259000,0.0
TraesCS6D02G125200,0.0
TraesCS5A02G048900,12.14
TraesCS2A02G543000,9.33
TraesCS2D02G032700,1.87
TraesCS5B02G438800,1.39
TraesCS7D02G264200,0.25
TraesCS7D02G070200,0.0
TraesCS1A02G084600,1.71
TraesCS3B02G500700,0.03
TraesCS1D02G390800,0.0
TraesCS3B02G313900,0.81
TraesCS4A02G261900,0.1
TraesCS6A02G010000,0.0
TraesCS7B02G378299,0.0
TraesCS1D02G174300,2.18
TraesCS3D02G093200,5.69
TraesCS5B02G317100,2.74
TraesCS7D02G060200,4.5
TraesCS2D02G565000,0.0
TraesCS5D02G280400,4.81
TraesCS5B02G172200,0.08
TraesCS7D02G456000,2.19
