Annotation1,Annotation2,ChIN,ID
Zm00001d001823,Zm00001d001827,103,144
Zm00001d001824,Zm00001d001827,103,145
Zm00001d001825,Zm00001d001827,103,146
Zm00001d001823,Zm00001d001831,103,147
Zm00001d001824,Zm00001d001831,103,148
Zm00001d001825,Zm00001d001831,103,149
Zm00001d001823,Zm00001d001832,103,150
Zm00001d001824,Zm00001d001832,103,151
Zm00001d001825,Zm00001d001832,103,152
Zm00001d001825,Zm00001d001831,103,153
Zm00001d001828,Zm00001d001831,103,154
Zm00001d001829,Zm00001d001831,103,155
Zm00001d001830,Zm00001d001831,103,156
Zm00001d001826,Zm00001d001831,103,157
Zm00001d001827,Zm00001d001831,103,158
Zm00001d001825,Zm00001d001832,103,159
Zm00001d001828,Zm00001d001832,103,160
Zm00001d001829,Zm00001d001832,103,161
Zm00001d001830,Zm00001d001832,103,162
Zm00001d001826,Zm00001d001832,103,163
Zm00001d001827,Zm00001d001832,103,164
Zm00001d001831,Zm00001d001835,103,165
Zm00001d001832,Zm00001d001835,103,166
Zm00001d001831,Zm00001d001838,103,167
Zm00001d001832,Zm00001d001838,103,168
Zm00001d001835,Zm00001d001838,103,169
Zm00001d001835,Zm00001d001839,103,170
Zm00001d001837,Zm00001d001839,103,171
Zm00001d001838,Zm00001d001839,103,172
Zm00001d001839,Zm00001d001840,103,173
Zm00001d001839,Zm00001d001841,103,174
Zm00001d001838,Zm00001d001842,103,175
Zm00001d001838,Zm00001d001843,103,176
Zm00001d001838,Zm00001d001844,103,177
Zm00001d001838,Zm00001d001845,103,178
Zm00001d001839,Zm00001d001842,103,179
Zm00001d001839,Zm00001d001843,103,180
Zm00001d001839,Zm00001d001844,103,181
Zm00001d001839,Zm00001d001845,103,182
Zm00001d001842,Zm00001d001846,103,183
Zm00001d001843,Zm00001d001846,103,184
Zm00001d001844,Zm00001d001846,103,185
Zm00001d001845,Zm00001d001846,103,186
Zm00001d001842,Zm00001d001847,103,187
Zm00001d001843,Zm00001d001847,103,188
Zm00001d001844,Zm00001d001847,103,189
Zm00001d001845,Zm00001d001847,103,190
Zm00001d001846,Zm00001d001847,103,191
Zm00001d001848,Zm00001d001849,60,192
Zm00001d001848,Zm00001d001850,60,193
Zm00001d001849,Zm00001d001852,60,194
Zm00001d001850,Zm00001d001852,60,195
Zm00001d001852,Zm00001d001855,60,196
Zm00001d001852,Zm00001d001856,60,197
Zm00001d001852,Zm00001d001859,60,198
Zm00001d001852,Zm00001d001858,60,199
Zm00001d001855,Zm00001d001859,60,200
Zm00001d001855,Zm00001d001858,60,201
Zm00001d001857,Zm00001d001859,60,202
Zm00001d001857,Zm00001d001858,60,203
Zm00001d001848,Zm00001d001862,60,204
Zm00001d001848,Zm00001d001860,60,205
Zm00001d001848,Zm00001d001861,60,206
Zm00001d001859,Zm00001d001862,60,207
Zm00001d001858,Zm00001d001862,60,208
Zm00001d001859,Zm00001d001860,60,209
Zm00001d001858,Zm00001d001860,60,210
Zm00001d001859,Zm00001d001861,60,211
Zm00001d001858,Zm00001d001861,60,212
Zm00001d001859,Zm00001d001862,60,213
Zm00001d001859,Zm00001d001860,60,214
Zm00001d001859,Zm00001d001861,60,215
Zm00001d001859,Zm00001d001864,60,216
Zm00001d001859,Zm00001d001865,60,217
Zm00001d001862,Zm00001d001864,60,218
Zm00001d001860,Zm00001d001864,60,219
Zm00001d001861,Zm00001d001864,60,220
Zm00001d001862,Zm00001d001865,60,221
Zm00001d001860,Zm00001d001865,60,222
Zm00001d001861,Zm00001d001865,60,223
Zm00001d001864,Zm00001d001866,60,224
Zm00001d001865,Zm00001d001866,60,225
Zm00001d001862,Zm00001d001868,60,226
Zm00001d001860,Zm00001d001868,60,227
Zm00001d001861,Zm00001d001868,60,228
Zm00001d001862,Zm00001d001870,60,229
Zm00001d001860,Zm00001d001870,60,230
Zm00001d001861,Zm00001d001870,60,231
Zm00001d001862,Zm00001d001871,60,232
Zm00001d001860,Zm00001d001871,60,233
Zm00001d001861,Zm00001d001871,60,234
Zm00001d001862,Zm00001d001869,60,235
Zm00001d001860,Zm00001d001869,60,236
Zm00001d001861,Zm00001d001869,60,237
Zm00001d001864,Zm00001d001868,60,238
Zm00001d001865,Zm00001d001868,60,239
Zm00001d001864,Zm00001d001870,60,240
Zm00001d001865,Zm00001d001870,60,241
Zm00001d001864,Zm00001d001871,60,242
Zm00001d001865,Zm00001d001871,60,243
Zm00001d001864,Zm00001d001869,60,244
Zm00001d001865,Zm00001d001869,60,245
Zm00001d001866,Zm00001d001868,60,246
Zm00001d001866,Zm00001d001870,60,247
Zm00001d001866,Zm00001d001871,60,248
Zm00001d001866,Zm00001d001869,60,249
Zm00001d001868,Zm00001d001876,60,250
Zm00001d001870,Zm00001d001876,60,251
Zm00001d001871,Zm00001d001876,60,252
Zm00001d001869,Zm00001d001876,60,253
Zm00001d001868,Zm00001d001877,60,254
Zm00001d001870,Zm00001d001877,60,255
Zm00001d001871,Zm00001d001877,60,256
Zm00001d001869,Zm00001d001877,60,257
Zm00001d001876,Zm00001d001879,60,258
Zm00001d001877,Zm00001d001879,60,259
Zm00001d001876,Zm00001d001880,60,260
Zm00001d001877,Zm00001d001880,60,261
Zm00001d001880,Zm00001d001881,60,262
Zm00001d001881,Zm00001d001882,60,263
Zm00001d001881,Zm00001d001883,60,264
Zm00001d001881,Zm00001d001884,60,265
Zm00001d001882,Zm00001d001883,60,266
Zm00001d001882,Zm00001d001884,60,267
Zm00001d001896,Zm00001d001897,15,268
Zm00001d001895,Zm00001d001897,15,269
Zm00001d001894,Zm00001d001897,15,270
Zm00001d001896,Zm00001d001898,15,271
Zm00001d001895,Zm00001d001898,15,272
Zm00001d001894,Zm00001d001898,15,273
Zm00001d001896,Zm00001d001899,15,274
Zm00001d001895,Zm00001d001899,15,275
Zm00001d001894,Zm00001d001899,15,276
Zm00001d001896,Zm00001d001900,15,277
Zm00001d001895,Zm00001d001900,15,278
Zm00001d001894,Zm00001d001900,15,279
Zm00001d001897,Zm00001d001901,15,280
Zm00001d001898,Zm00001d001901,15,281
Zm00001d001899,Zm00001d001901,15,282
Zm00001d001900,Zm00001d001901,15,283
Zm00001d001896,Zm00001d001902,15,284
Zm00001d001895,Zm00001d001902,15,285
Zm00001d001894,Zm00001d001902,15,286
Zm00001d001896,Zm00001d001904,15,287
Zm00001d001895,Zm00001d001904,15,288
Zm00001d001894,Zm00001d001904,15,289
Zm00001d001896,Zm00001d001905,15,290
Zm00001d001895,Zm00001d001905,15,291
Zm00001d001894,Zm00001d001905,15,292
Zm00001d001896,Zm00001d001906,15,293
Zm00001d001895,Zm00001d001906,15,294
Zm00001d001894,Zm00001d001906,15,295
