ChIN,Annotation1,Annotation2,ID
51,Zm00001d012258,Zm00001d012260,47701
51,Zm00001d012259,Zm00001d012260,47702
51,Zm00001d012260,Zm00001d012261,47703
51,Zm00001d012260,Zm00001d012263,47704
51,Zm00001d012277,Zm00001d012279,47712
51,Zm00001d012277,Zm00001d012280,47713
51,Zm00001d012279,Zm00001d012280,47714
51,Zm00001d012277,Zm00001d012282,47715
51,Zm00001d012277,Zm00001d012281,47716
51,Zm00001d012279,Zm00001d012282,47717
51,Zm00001d012279,Zm00001d012281,47718
51,Zm00001d012280,Zm00001d012282,47719
51,Zm00001d012280,Zm00001d012281,47720
51,Zm00001d012282,Zm00001d012283,47721
51,Zm00001d012281,Zm00001d012283,47722
51,Zm00001d012282,Zm00001d012285,47723
51,Zm00001d012281,Zm00001d012285,47724
51,Zm00001d012257,Zm00001d012286,47725
51,Zm00001d012258,Zm00001d012286,47726
51,Zm00001d012257,Zm00001d012287,47727
51,Zm00001d012258,Zm00001d012287,47728
51,Zm00001d012257,Zm00001d012289,47729
51,Zm00001d012258,Zm00001d012289,47730
51,Zm00001d012284,Zm00001d012286,47731
51,Zm00001d012284,Zm00001d012287,47732
51,Zm00001d012284,Zm00001d012289,47733
51,Zm00001d012285,Zm00001d012286,47734
51,Zm00001d012285,Zm00001d012287,47735
51,Zm00001d012285,Zm00001d012289,47736
51,Zm00001d012286,Zm00001d012291,47737
51,Zm00001d012287,Zm00001d012291,47738
51,Zm00001d012289,Zm00001d012291,47739
51,Zm00001d012290,Zm00001d012291,47740
51,Zm00001d012285,Zm00001d012292,47741
51,Zm00001d012285,Zm00001d012294,47742
51,Zm00001d012285,Zm00001d012293,47743
51,Zm00001d012285,Zm00001d012295,47744
51,Zm00001d012286,Zm00001d012292,47745
51,Zm00001d012287,Zm00001d012292,47746
51,Zm00001d012289,Zm00001d012292,47747
51,Zm00001d012286,Zm00001d012294,47748
51,Zm00001d012287,Zm00001d012294,47749
51,Zm00001d012289,Zm00001d012294,47750
51,Zm00001d012286,Zm00001d012293,47751
51,Zm00001d012287,Zm00001d012293,47752
51,Zm00001d012289,Zm00001d012293,47753
51,Zm00001d012286,Zm00001d012295,47754
51,Zm00001d012287,Zm00001d012295,47755
51,Zm00001d012289,Zm00001d012295,47756
51,Zm00001d012291,Zm00001d012292,47757
51,Zm00001d012291,Zm00001d012294,47758
51,Zm00001d012291,Zm00001d012293,47759
51,Zm00001d012291,Zm00001d012295,47760
51,Zm00001d012285,Zm00001d012296,47761
51,Zm00001d012285,Zm00001d012297,47762
51,Zm00001d012285,Zm00001d012295,47763
51,Zm00001d012292,Zm00001d012296,47764
51,Zm00001d012294,Zm00001d012296,47765
51,Zm00001d012293,Zm00001d012296,47766
51,Zm00001d012295,Zm00001d012296,47767
51,Zm00001d012292,Zm00001d012297,47768
51,Zm00001d012294,Zm00001d012297,47769
51,Zm00001d012293,Zm00001d012297,47770
51,Zm00001d012295,Zm00001d012297,47771
51,Zm00001d012292,Zm00001d012295,47772
51,Zm00001d012294,Zm00001d012295,47773
51,Zm00001d012293,Zm00001d012295,47774
51,Zm00001d012295,Zm00001d012295,47775
51,Zm00001d012292,Zm00001d012301,47776
51,Zm00001d012294,Zm00001d012301,47777
51,Zm00001d012293,Zm00001d012301,47778
51,Zm00001d012295,Zm00001d012301,47779
51,Zm00001d012292,Zm00001d012302,47780
51,Zm00001d012294,Zm00001d012302,47781
51,Zm00001d012293,Zm00001d012302,47782
51,Zm00001d012295,Zm00001d012302,47783
51,Zm00001d012296,Zm00001d012301,47784
51,Zm00001d012297,Zm00001d012301,47785
51,Zm00001d012295,Zm00001d012301,47786
51,Zm00001d012296,Zm00001d012302,47787
51,Zm00001d012297,Zm00001d012302,47788
51,Zm00001d012295,Zm00001d012302,47789
51,Zm00001d012292,Zm00001d012304,47790
51,Zm00001d012294,Zm00001d012304,47791
51,Zm00001d012293,Zm00001d012304,47792
51,Zm00001d012295,Zm00001d012304,47793
51,Zm00001d012296,Zm00001d012304,47794
51,Zm00001d012297,Zm00001d012304,47795
51,Zm00001d012295,Zm00001d012304,47796
51,Zm00001d012301,Zm00001d012304,47797
51,Zm00001d012302,Zm00001d012304,47798
51,Zm00001d012304,Zm00001d012306,47799
51,Zm00001d010519,Zm00001d012321,47804
51,Zm00001d010519,Zm00001d012322,47805
51,Zm00001d012296,Zm00001d012321,47806
51,Zm00001d012297,Zm00001d012321,47807
51,Zm00001d012295,Zm00001d012321,47808
51,Zm00001d012296,Zm00001d012322,47809
51,Zm00001d012297,Zm00001d012322,47810
51,Zm00001d012295,Zm00001d012322,47811
51,Zm00001d012301,Zm00001d012321,47812
51,Zm00001d012302,Zm00001d012321,47813
51,Zm00001d012301,Zm00001d012322,47814
51,Zm00001d012302,Zm00001d012322,47815
